frame	area
1	32116
2	31680
3	31680
4	31680
5	31145
6	31145
7	31145
8	30433
9	30433
10	29796
11	29796
12	29796
13	29016
14	29016
15	29016
16	28269
17	27535
18	27535
19	27535
20	26618
21	26618
22	26618
23	26618
24	25847
25	25847
26	25847
27	25847
28	25011
29	25011
30	24201
31	24201
32	23396
33	23396
34	23396
35	23396
36	22628
37	22628
38	22628
39	21873
40	21873
41	21873
42	21873
43	21117
44	21117
45	21117
46	20271
47	20271
48	19477
49	19477
50	19477
51	19477
52	18726
53	18726
54	18726
55	18726
56	17983
57	17983
58	17983
59	17983
60	17149
61	17149
62	17149
63	16398
64	16398
65	15665
66	15665
67	15665
68	15665
69	14976
70	14976
71	14976
72	14976
73	14293
74	14293
75	14293
76	14293
77	13632
78	13632
79	13632
80	13632
81	12986
82	12338
83	12338
84	12338
85	12338
86	11702
87	11702
88	11702
89	11702
90	11009
91	11009
92	11009
93	11009
94	10373
95	10373
96	10373
97	10373
98	9674
99	9674
100	9674
101	9674
102	9072
103	8560
104	8560
105	8560
106	8004
107	8004
108	8004
109	8004
110	7501
111	7501
112	7501
113	7501
114	6983
115	6983
116	6983
117	6983
118	6460
119	6460
120	6460
121	6460
122	6034
123	6034
124	6034
125	5558
126	5558
127	5123
128	5123
129	5123
130	4614
131	4614
132	4614
133	4614
134	4205
135	4205
136	4205
137	4205
138	3832
139	3832
140	3832
141	3832
142	3466
143	3466
144	3466
145	3466
146	3109
147	3109
148	3109
149	2758
150	2758
151	2758
152	2478
153	2478
154	2478
155	2478
156	2169
157	2169
158	2169
159	2169
160	1964
161	1964
162	1964
163	1964
164	2121
