frame	area
1	1136
2	1256
3	1256
4	1256
5	1394
6	1394
7	1394
8	1557
9	1557
10	1557
11	1735
12	1735
13	1735
14	1916
15	1916
16	1916
17	2114
18	2114
19	2240
20	2240
21	2240
22	2240
23	2433
24	2433
25	2433
26	2592
27	2592
28	2770
29	2770
30	2770
31	2770
32	2961
33	2961
34	2961
35	3200
36	3200
37	3200
38	3379
39	3379
40	3631
41	3631
42	3631
43	3795
44	3795
45	3795
46	3795
47	4073
48	4073
49	4073
50	4386
51	4386
52	4386
53	4657
54	4657
55	4657
56	4657
57	4934
58	4934
59	4934
60	5197
61	5197
62	5197
63	5535
64	5535
65	5535
66	5820
67	5820
68	6100
69	6100
70	6100
71	6400
72	6400
73	6400
74	6715
75	6715
76	6715
77	6957
78	6957
79	6957
80	7218
81	7218
82	7521
83	7521
84	7521
85	7832
86	7832
87	7832
88	8064
89	8064
90	8064
91	8432
92	8432
93	8432
94	8707
95	8707
96	8951
97	8951
98	9254
99	9254
100	9254
101	9587
102	9587
103	9587
104	9862
105	9862
106	9862
107	10159
108	10159
109	10159
110	10439
111	10439
112	10439
113	10770
114	10770
115	10770
116	11018
117	11018
118	11018
119	11018
120	11380
121	11380
122	11380
123	11691
124	11691
125	11691
126	11922
127	11922
128	11922
129	12239
130	12239
131	12239
132	12551
133	12551
134	12551
135	12767
136	12767
137	13052
138	13052
139	13052
140	13052
141	13342
142	13342
143	13342
144	13710
145	13710
146	13710
147	13710
148	14034
149	14034
150	14034
151	14034
152	14366
153	14366
154	14366
155	14682
156	14682
157	14682
158	14983
159	14983
160	14983
161	14983
162	15239
163	15239
164	15239
165	15239
166	15503
167	15503
168	15503
169	15749
170	15749
171	15749
172	15749
173	16061
174	16061
175	16401
176	16401
177	16401
178	16401
179	16698
180	16698
181	16698
182	16990
183	16990
184	16990
185	16990
186	17228
187	17228
188	17228
189	17477
190	17477
191	17477
192	17477
193	17701
194	17701
195	17701
196	17701
197	18032
198	18032
199	18032
200	18032
201	18359
202	18359
203	18359
204	18577
205	18577
206	18577
207	18577
208	18853
209	18853
210	18853
211	18853
212	19098
213	19098
214	19098
215	19098
216	19431
217	19431
218	19431
219	19431
220	19641
221	19641
222	19641
223	19866
224	19866
225	19866
226	19866
227	20156
228	20156
229	20156
230	20156
231	20389
232	20389
233	20389
234	20582
235	20582
236	20582
237	20809
238	20809
239	20809
240	20809
241	21113
242	21113
243	21113
244	21113
245	21384
246	21384
247	21384
248	21568
249	21568
250	21568
251	21794
252	21794
253	21794
254	22021
255	22021
256	22021
257	22257
258	22257
259	22257
260	22257
261	22572
262	22572
263	22572
264	22572
265	22753
266	22753
267	22753
268	23015
269	23015
270	23015
271	23261
272	23261
273	23261
274	23542
275	23542
276	23542
277	23812
278	23812
279	24002
280	24002
281	24193
282	24193
283	24193
284	24193
285	24423
286	24423
287	24423
288	24423
289	24694
290	24694
291	24694
292	24891
293	24891
294	24891
295	25104
296	25104
297	25104
298	25369
299	25369
300	25369
301	25591
302	25591
303	25591
304	25796
305	25796
306	25796
307	25796
308	26001
309	26001
310	26229
311	26229
312	26229
313	26460
314	26460
315	26649
316	26649
317	26649
318	26796
319	26796
320	26796
321	26796
322	26980
323	26980
324	26980
325	27157
326	27157
327	27157
328	27352
329	27352
330	27352
331	27352
332	27546
333	27546
334	27546
335	27546
336	27683
337	27683
338	27683
339	27897
340	27897
341	27897
342	27897
343	28050
344	28050
345	28050
346	28294
347	28294
348	28294
349	28294
350	28450
351	28450
352	28450
353	28739
354	28739
355	28739
356	28926
357	28926
358	28926
359	28926
360	29094
361	29094
362	29094
363	29094
364	29310
365	29310
366	29310
367	29469
368	29469
369	29469
