Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,4.000000e-02,10.302589,1.921660e-04,8.376000
1,5.400000e-01,10.300720,1.921660e-04,8.376000
2,1.040000e+00,10.297413,1.921660e-04,8.376000
3,1.536000e+00,10.296044,1.921660e-04,8.376000
4,2.038000e+00,10.299867,1.921660e-04,8.376000
5,2.537000e+00,10.302618,1.921660e-04,8.388000
6,3.041000e+00,10.303771,1.921660e-04,8.376000
7,3.537000e+00,10.305349,1.921660e-04,8.376000
8,4.052000e+00,10.304917,1.921660e-04,8.376000
9,4.540000e+00,10.303460,1.921660e-04,8.376000
10,5.043000e+00,10.300933,1.921660e-04,8.376000
11,5.540000e+00,10.304843,1.921660e-04,8.376000
12,6.040000e+00,10.301935,1.921660e-04,8.376000
13,6.536000e+00,10.298092,1.921660e-04,8.376000
14,7.042000e+00,10.296768,1.921070e-04,8.382000
15,7.541000e+00,10.297031,1.921070e-04,8.382000
16,8.039000e+00,10.292328,1.921660e-04,8.376000
17,8.537000e+00,10.292401,1.921660e-04,8.376000
18,9.036000e+00,10.291391,1.921070e-04,8.382000
19,9.544000e+00,10.291459,1.921070e-04,8.382000
20,1.003700e+01,10.292508,1.921660e-04,8.376000
21,1.053600e+01,10.292355,1.921660e-04,8.376000
22,1.103700e+01,10.292090,1.921660e-04,8.376000
23,1.153500e+01,10.293180,1.921660e-04,8.376000
24,1.203700e+01,10.288859,1.921660e-04,8.376000
25,1.254000e+01,10.286365,1.921660e-04,8.376000
26,1.303700e+01,10.287663,1.921660e-04,8.376000
27,1.354000e+01,10.289781,1.921660e-04,8.376000
28,1.404000e+01,10.289676,1.921660e-04,8.376000
29,1.454200e+01,10.285308,1.921660e-04,8.376000
30,1.504100e+01,10.288677,1.921070e-04,8.382000
31,1.554200e+01,10.289206,1.921070e-04,8.382000
32,1.604400e+01,10.289692,1.921070e-04,8.382000
33,1.654200e+01,10.288054,1.921070e-04,8.382000
34,1.703700e+01,10.283748,1.921070e-04,8.382000
35,1.753700e+01,10.281051,1.921070e-04,8.382000
36,1.803700e+01,10.274066,1.921070e-04,8.382000
37,1.853700e+01,10.271339,1.921070e-04,8.382000
38,1.904200e+01,10.276104,1.921070e-04,8.382000
39,1.954300e+01,10.276197,1.921070e-04,8.382000
40,2.004300e+01,10.274331,1.921070e-04,8.382000
41,2.054100e+01,10.275187,1.921070e-04,8.382000
42,2.103600e+01,10.272873,1.921070e-04,8.382000
43,2.154700e+01,10.269515,1.921070e-04,8.376000
44,2.204200e+01,10.268356,1.921070e-04,8.382000
45,2.253900e+01,10.268235,1.921070e-04,8.382000
46,2.303600e+01,10.267122,1.921070e-04,8.382000
47,2.353700e+01,10.263655,1.921070e-04,8.382000
48,2.403600e+01,10.262033,1.921070e-04,8.382000
49,2.453800e+01,10.264689,1.921070e-04,8.382000
50,2.504200e+01,10.263815,1.921070e-04,8.382000
51,2.554900e+01,10.271441,1.921070e-04,8.370000
52,2.603800e+01,10.276633,1.921070e-04,8.382000
53,2.653700e+01,10.280368,1.921660e-04,8.376000
54,2.703800e+01,10.276525,1.921660e-04,8.376000
55,2.753800e+01,10.268847,1.921070e-04,8.382000
56,2.804200e+01,10.267163,1.921070e-04,8.382000
57,2.854200e+01,10.266152,1.921070e-04,8.382000
58,2.904200e+01,10.266385,1.921070e-04,8.382000
59,2.953800e+01,10.265856,1.921070e-04,8.382000
60,3.003800e+01,10.266255,1.921070e-04,8.382000
61,3.054500e+01,10.264545,1.921070e-04,8.382000
62,3.103700e+01,10.267369,1.921070e-04,8.382000
63,3.153700e+01,10.265234,1.921070e-04,8.382000
64,3.203700e+01,10.266337,1.921070e-04,8.382000
65,3.253800e+01,10.263708,1.921070e-04,8.382000
66,3.303800e+01,10.266244,1.921070e-04,8.382000
67,3.353900e+01,10.257559,1.921070e-04,8.382000
68,3.404300e+01,10.255392,1.921070e-04,8.382000
69,3.454300e+01,10.247925,1.921070e-04,8.382000
70,3.504100e+01,10.240319,1.921070e-04,8.382000
71,3.553800e+01,10.238407,1.921070e-04,8.382000
72,3.604000e+01,10.237768,1.921070e-04,8.382000
73,3.653600e+01,10.238035,1.921070e-04,8.382000
74,3.703900e+01,10.236207,1.921070e-04,8.382000
75,3.753800e+01,10.238421,1.921070e-04,8.382000
76,3.803800e+01,10.242267,1.921070e-04,8.382000
77,3.853700e+01,10.246113,1.921070e-04,8.382000
78,3.903700e+01,10.250260,1.921070e-04,8.382000
79,3.954100e+01,10.252718,1.921070e-04,8.382000
80,4.003700e+01,10.255231,1.921070e-04,8.382000
81,4.053800e+01,10.258928,1.921070e-04,8.382000
82,4.103700e+01,10.258207,1.921070e-04,8.382000
83,4.154400e+01,10.256252,1.921070e-04,8.382000
