Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.200000e-02,9.833604,0.000000e+00,0.000000
1,5.340000e-01,9.828561,0.000000e+00,0.000000
2,1.035000e+00,9.828605,0.000000e+00,0.000000
3,1.531000e+00,9.827617,0.000000e+00,0.000000
4,2.033000e+00,9.824104,0.000000e+00,0.000000
5,2.530000e+00,9.824583,0.000000e+00,0.000000
6,3.034000e+00,9.826346,0.000000e+00,0.000000
7,3.533000e+00,9.827049,5.960510e-08,0.000000
8,4.033000e+00,9.826343,5.960510e-08,0.000000
9,4.530000e+00,9.824327,0.000000e+00,0.000000
10,5.028000e+00,9.827651,0.000000e+00,0.000000
11,5.535000e+00,9.826289,0.000000e+00,0.000000
12,6.031000e+00,9.825296,0.000000e+00,0.000000
13,6.530000e+00,9.823285,0.000000e+00,0.000000
14,7.030000e+00,9.825727,0.000000e+00,0.000000
15,7.530000e+00,9.826022,0.000000e+00,0.000000
16,8.030000e+00,9.828835,0.000000e+00,0.000000
17,8.529000e+00,9.831867,0.000000e+00,0.000000
18,9.030000e+00,9.830770,0.000000e+00,0.000000
19,9.530000e+00,9.831380,0.000000e+00,0.000000
20,1.002900e+01,9.831314,0.000000e+00,0.000000
21,1.053000e+01,9.831351,0.000000e+00,0.000000
22,1.103300e+01,9.836417,5.960510e-08,0.000000
23,1.153400e+01,9.837749,5.960510e-08,0.000000
24,1.203200e+01,9.835155,5.960510e-08,0.000000
25,1.253000e+01,9.833383,0.000000e+00,0.000000
26,1.302900e+01,9.826329,0.000000e+00,0.000000
27,1.352900e+01,9.823925,0.000000e+00,0.000000
28,1.403000e+01,9.826352,0.000000e+00,0.000000
29,1.453300e+01,9.830374,0.000000e+00,0.000000
30,1.502900e+01,9.828039,0.000000e+00,0.000000
31,1.553500e+01,9.828322,0.000000e+00,0.000000
32,1.602900e+01,9.830351,0.000000e+00,0.000000
33,1.653200e+01,9.833700,0.000000e+00,0.000000
34,1.703600e+01,9.839793,5.960510e-08,0.000000
35,1.753400e+01,9.840188,5.960510e-08,0.000000
36,1.803600e+01,9.843030,5.960510e-08,0.000000
37,1.854100e+01,9.845255,5.960510e-08,18.432000
38,1.903700e+01,9.845843,5.960510e-08,18.432000
39,1.953200e+01,9.849480,5.960510e-08,0.000000
40,2.003500e+01,9.851823,1.192100e-07,0.000000
41,2.053300e+01,9.852361,1.192100e-07,0.000000
42,2.103700e+01,9.853642,1.192100e-07,11.310000
43,2.153500e+01,9.854970,1.788150e-07,0.000000
44,2.203300e+01,9.854166,1.788150e-07,0.000000
45,2.253300e+01,9.853147,1.192100e-07,0.000000
46,2.303300e+01,9.847431,5.960510e-08,0.000000
47,2.353300e+01,9.854086,5.960510e-08,0.000000
48,2.403900e+01,9.856480,3.576300e-07,4.764000
49,2.453800e+01,9.853273,3.576300e-07,5.712000
50,2.503600e+01,9.854905,1.788150e-07,9.462000
51,2.553700e+01,9.858077,2.384200e-07,7.122000
52,2.603600e+01,9.858100,2.384200e-07,7.122000
53,2.653600e+01,9.859597,1.788150e-07,8.130000
54,2.703700e+01,9.862141,1.788150e-07,8.130000
55,2.753800e+01,9.862420,3.576300e-07,10.308000
56,2.803700e+01,9.860460,3.576300e-07,5.712000
57,2.853700e+01,9.857178,1.788150e-07,9.462000
58,2.904100e+01,9.859385,1.788150e-07,9.462000
59,2.953800e+01,9.856675,1.788150e-07,9.462000
60,3.003500e+01,9.855995,1.192100e-07,0.000000
61,3.053100e+01,9.858477,1.192100e-07,0.000000
62,3.103800e+01,9.861128,1.788150e-07,9.462000
63,3.153700e+01,9.865080,3.576300e-07,5.196000
64,3.203800e+01,9.863974,4.768410e-07,7.122000
65,3.253700e+01,9.864396,3.576300e-07,9.462000
66,3.303700e+01,9.860593,2.980250e-07,5.712000
67,3.353700e+01,9.860950,1.788150e-07,8.130000
68,3.403600e+01,9.863887,4.172340e-07,8.748000
69,3.453700e+01,9.861857,4.172340e-07,8.130000
70,3.503800e+01,9.858545,2.384200e-07,7.122000
71,3.553800e+01,9.861482,1.788150e-07,9.462000
72,3.603800e+01,9.868412,3.576300e-07,5.196000
73,3.653900e+01,9.873029,8.940730e-07,8.430000
74,3.704000e+01,9.872464,1.013290e-06,7.596000
75,3.754000e+01,9.875062,7.748640e-07,6.840000
76,3.804100e+01,9.879725,2.086180e-06,8.004000
77,3.854500e+01,9.876848,1.966970e-06,7.854000
78,3.904000e+01,9.876820,1.192100e-06,8.130000
79,3.954000e+01,9.879725,1.013290e-06,7.350000
80,4.004000e+01,9.881738,1.311310e-06,8.328000
81,4.053800e+01,9.883471,1.549730e-06,8.652000
82,4.103900e+01,9.881782,1.370910e-06,8.130000
83,4.153600e+01,9.877810,9.536820e-07,7.854000
84,4.203700e+01,9.880139,8.940730e-07,8.130000
85,4.254300e+01,9.879843,1.192100e-06,7.908000
86,4.303700e+01,9.877798,1.013290e-06,7.122000
87,4.353900e+01,9.876856,7.152590e-07,7.764000
88,4.403700e+01,9.880863,8.940730e-07,8.430000
89,4.454100e+01,9.880000,1.192100e-06,7.908000
90,4.503800e+01,9.881536,1.072890e-06,8.616000
91,4.554100e+01,9.887362,1.788150e-06,8.430000
92,4.604100e+01,9.888609,2.920640e-06,8.502000
93,4.653800e+01,9.885154,2.264990e-06,8.616000
94,4.703700e+01,9.884708,1.370910e-06,8.328000
95,4.753600e+01,9.884406,1.192100e-06,7.698000
96,4.803600e+01,9.882822,1.311310e-06,8.532000
97,4.853800e+01,9.884464,1.132500e-06,8.364000
98,4.904200e+01,9.888735,3.397480e-06,8.130000
99,4.953800e+01,9.890004,4.112750e-06,8.328000
100,5.004400e+01,9.892091,3.397480e-06,8.532000
101,5.053700e+01,9.889832,2.920640e-06,8.502000
