Point,Time (s),Temperature (K)
0,1.300000e-02,47.892574
1,5.090000e-01,47.873344
2,1.010000e+00,47.849888
3,1.509000e+00,47.835365
4,2.010000e+00,47.830879
5,2.510000e+00,47.848850
6,3.010000e+00,47.893574
7,3.512000e+00,47.954296
8,4.010000e+00,48.059780
9,4.514000e+00,48.158848
10,5.014000e+00,48.307602
11,5.517000e+00,48.472851
12,6.016000e+00,48.622044
13,6.515000e+00,48.824593
14,7.014000e+00,48.998917
15,7.515000e+00,49.226379
16,8.016000e+00,49.419479
17,8.514000e+00,49.669331
18,9.014000e+00,49.875271
19,9.511000e+00,50.130341
20,1.001100e+01,50.340908
21,1.051200e+01,50.605118
22,1.101500e+01,50.809059
23,1.151200e+01,51.058025
24,1.201300e+01,51.243587
25,1.251400e+01,51.462227
26,1.301300e+01,51.622086
27,1.351300e+01,51.810131
28,1.401300e+01,51.936520
29,1.451300e+01,52.085407
30,1.501300e+01,52.194870
31,1.551300e+01,52.306858
32,1.601400e+01,52.387608
33,1.651300e+01,52.477501
34,1.701600e+01,52.539627
35,1.751400e+01,52.603767
36,1.801300e+01,52.649059
37,1.851400e+01,52.698727
38,1.901400e+01,52.732811
39,1.951400e+01,52.769485
40,2.001600e+01,52.792885
41,2.051400e+01,52.811939
42,2.101400e+01,52.824944
43,2.151400e+01,52.841469
44,2.201300e+01,52.844109
45,2.250900e+01,52.842575
46,2.300900e+01,52.842060
47,2.350900e+01,52.830307
48,2.401000e+01,52.826015
49,2.450900e+01,52.822483
50,2.500900e+01,52.801659
51,2.550900e+01,52.789200
52,2.600900e+01,52.768936
53,2.650900e+01,52.751068
54,2.700900e+01,52.728302
55,2.751000e+01,52.710453
56,2.800900e+01,52.684566
57,2.850900e+01,52.660770
58,2.900900e+01,52.625668
59,2.950900e+01,52.600536
60,3.001000e+01,52.565765
61,3.050900e+01,52.538204
62,3.100900e+01,52.501320
63,3.151000e+01,52.466499
64,3.200900e+01,52.428810
65,3.251300e+01,52.398151
66,3.301000e+01,52.362785
67,3.351200e+01,52.329605
68,3.401000e+01,52.288670
69,3.451200e+01,52.244888
70,3.501000e+01,52.210869
71,3.550900e+01,52.172016
72,3.601000e+01,52.134647
73,3.650900e+01,52.087471
74,3.700900e+01,52.054089
75,3.751000e+01,52.013874
76,3.801000e+01,51.975636
77,3.850900e+01,51.929077
78,3.901000e+01,51.894535
79,3.951000e+01,51.852058
80,4.000900e+01,51.810429
81,4.050900e+01,51.762550
82,4.100900e+01,51.721436
83,4.151000e+01,51.681683
84,4.201000e+01,51.646366
85,4.250900e+01,51.598930
86,4.301000e+01,51.556793
87,4.351000e+01,51.502609
88,4.401000e+01,51.470123
89,4.450900e+01,51.420708
90,4.501000e+01,51.385376
91,4.550900e+01,51.334541
92,4.601100e+01,51.295734
93,4.650900e+01,51.253098
94,4.701300e+01,51.208618
95,4.751000e+01,51.156506
96,4.801300e+01,51.125111
97,4.850900e+01,51.077637
98,4.901200e+01,51.031624
99,4.950900e+01,50.989529
100,5.001000e+01,50.939209
101,5.050900e+01,50.904922
102,5.101000e+01,50.859474
103,5.150900e+01,50.819275
104,5.200900e+01,50.772194
105,5.250900e+01,50.729946
106,5.300900e+01,50.684006
107,5.350900e+01,50.643646
108,5.400900e+01,50.597187
109,5.450900e+01,50.553276
110,5.500900e+01,50.505653
111,5.551000e+01,50.467899
112,5.600900e+01,50.423103
113,5.651000e+01,50.383976
114,5.700900e+01,50.344494
115,5.750900e+01,50.310928
116,5.801000e+01,50.265858
117,5.850900e+01,50.225025
118,5.901100e+01,50.181599
119,5.951000e+01,50.143494
120,6.001000e+01,50.101826
121,6.051000e+01,50.067825
122,6.101000e+01,50.029556
123,6.151200e+01,49.998302
124,6.201100e+01,49.958881
125,6.251300e+01,49.935287
126,6.301000e+01,49.907829
127,6.351200e+01,49.882076
128,6.401000e+01,49.866810
129,6.451000e+01,49.848095
130,6.501000e+01,49.841400
131,6.551000e+01,49.831299
132,6.600900e+01,49.831059
133,6.651000e+01,49.829132
134,6.700900e+01,49.827911
135,6.751000e+01,49.834549
136,6.801100e+01,49.848923
137,6.851000e+01,49.862942
138,6.901000e+01,49.881439
139,6.951000e+01,49.902306
140,7.000900e+01,49.921730
141,7.051000e+01,49.945953
142,7.101100e+01,49.968155
143,7.150900e+01,50.000458
144,7.201000e+01,50.023590
145,7.250900e+01,50.060215
146,7.301000e+01,50.080734
147,7.350900e+01,50.108479
148,7.401000e+01,50.139923
149,7.451000e+01,50.170586
150,7.500900e+01,50.192940
151,7.551000e+01,50.217857
152,7.601200e+01,50.235649
153,7.651100e+01,50.252758
154,7.701500e+01,50.259750
155,7.751500e+01,50.266113
156,7.801600e+01,50.269604
157,7.851300e+01,50.268650
158,7.901400e+01,50.262024
159,7.950900e+01,50.257126
160,8.000900e+01,50.243683
161,8.050900e+01,50.236683
162,8.100900e+01,50.215206
163,8.150900e+01,50.199909
164,8.200900e+01,50.180859
165,8.250900e+01,50.161072
166,8.300900e+01,50.139500
167,8.350900e+01,50.117294
168,8.401100e+01,50.094482
169,8.450900e+01,50.070656
170,8.500900e+01,50.034706
171,8.550900e+01,50.010944
172,8.601000e+01,49.977230
173,8.651000e+01,49.951130
174,8.701000e+01,49.926239
175,8.751000e+01,49.902348
176,8.801100e+01,49.877419
177,8.851000e+01,49.855198
178,8.901100e+01,49.842739
179,8.951100e+01,49.834427
180,9.001000e+01,49.821785
181,9.051200e+01,49.816055
182,9.101100e+01,49.798176
183,9.151300e+01,49.794819
184,9.201100e+01,49.792938
185,9.251100e+01,49.793072
186,9.301000e+01,49.801044
187,9.350900e+01,49.815731
188,9.401000e+01,49.829132
189,9.451000e+01,49.847740
190,9.500900e+01,49.864616
191,9.551000e+01,49.884563
192,9.601000e+01,49.907234
193,9.651000e+01,49.936512
194,9.701000e+01,49.959431
195,9.751000e+01,49.989136
196,9.801000e+01,50.017586
197,9.850900e+01,50.052498
198,9.901100e+01,50.079765
199,9.951000e+01,50.105537
200,1.000100e+02,50.132259
201,1.005100e+02,50.155495
202,1.010100e+02,50.173515
203,1.015090e+02,50.202278
204,1.020150e+02,50.216042
205,1.025140e+02,50.234001
206,1.030140e+02,50.245464
207,1.035150e+02,50.256329
208,1.040160e+02,50.261490
209,1.045130e+02,50.264111
210,1.050140e+02,50.262711
211,1.055130e+02,50.253899
212,1.060130e+02,50.246906
213,1.065130e+02,50.230106
