Point,Time (s),Temperature (K)
0,1.000000e-02,8.784165
1,5.130000e-01,8.872475
2,1.010000e+00,8.985568
3,1.510000e+00,9.123621
4,2.010000e+00,9.197821
5,2.509000e+00,9.206639
6,3.010000e+00,9.218158
7,3.510000e+00,9.340477
8,4.010000e+00,9.514945
9,4.510000e+00,9.777304
10,5.010000e+00,9.980631
11,5.513000e+00,10.174121
12,6.013000e+00,10.249173
13,6.510000e+00,10.222060
14,7.011000e+00,10.111335
15,7.510000e+00,9.920149
16,8.011000e+00,9.792668
17,8.510000e+00,9.734488
18,9.011000e+00,9.781392
19,9.510000e+00,9.929000
20,1.001100e+01,10.084899
21,1.051400e+01,10.274994
22,1.101400e+01,10.385154
23,1.151300e+01,10.432677
24,1.201000e+01,10.380415
25,1.251100e+01,10.215958
26,1.301300e+01,10.046907
27,1.351000e+01,9.867602
28,1.401200e+01,9.799447
29,1.451000e+01,9.828971
30,1.501200e+01,9.958488
31,1.551100e+01,10.096364
32,1.601100e+01,10.265582
33,1.651000e+01,10.359590
34,1.701100e+01,10.384743
35,1.751000e+01,10.318171
36,1.801100e+01,10.138359
37,1.851000e+01,9.961820
38,1.901000e+01,9.791942
39,1.951000e+01,9.740876
40,2.001000e+01,9.791387
41,2.051000e+01,9.902641
42,2.101000e+01,10.080093
43,2.151100e+01,10.214539
44,2.201100e+01,10.322764
45,2.251000e+01,10.332567
46,2.301100e+01,10.234054
47,2.351000e+01,10.080118
48,2.401000e+01,9.864037
49,2.451000e+01,9.738831
50,2.501000e+01,9.693296
51,2.551000e+01,9.748609
52,2.601000e+01,9.901136
53,2.651100e+01,10.054953
54,2.701000e+01,10.226304
55,2.751300e+01,10.305984
56,2.801100e+01,10.300174
57,2.851200e+01,10.204668
58,2.901100e+01,10.003471
59,2.951100e+01,9.797581
60,3.001100e+01,9.696099
61,3.051000e+01,9.690215
62,3.101000e+01,9.775553
63,3.151000e+01,9.952104
64,3.201100e+01,10.106258
65,3.251100e+01,10.257568
66,3.301100e+01,10.309960
67,3.351100e+01,10.264966
68,3.401000e+01,10.148588
69,3.451000e+01,9.945296
70,3.501000e+01,9.795739
71,3.551000e+01,9.695045
72,3.601000e+01,9.705482
73,3.651000e+01,9.817286
74,3.701000e+01,9.953958
75,3.751000e+01,10.132679
76,3.801100e+01,10.243526
77,3.851000e+01,10.295974
78,3.901100e+01,10.252799
79,3.951000e+01,10.101701
80,4.001000e+01,9.940156
81,4.051000e+01,9.768721
82,4.101100e+01,9.705820
83,4.151000e+01,9.739762
84,4.201200e+01,9.840982
85,4.251000e+01,10.013533
86,4.301200e+01,10.148352
87,4.351000e+01,10.262177
88,4.401200e+01,10.274289
89,4.451300e+01,10.203535
90,4.501300e+01,10.035223
91,4.551300e+01,9.882079
92,4.601500e+01,9.743646
93,4.651700e+01,9.713358
94,4.701100e+01,9.782585
95,4.751100e+01,9.898668
96,4.801100e+01,10.067798
97,4.851200e+01,10.185115
98,4.901100e+01,10.269503
99,4.951200e+01,10.264211
100,5.001200e+01,10.160731
101,5.051700e+01,10.023749
102,5.101100e+01,9.847949
103,5.151100e+01,9.751288
104,5.201100e+01,9.728021
105,5.251000e+01,9.787335
106,5.301100e+01,9.927410
107,5.351100e+01,10.059219
108,5.401200e+01,10.199936
109,5.451200e+01,10.260551
110,5.501200e+01,10.251472
111,5.551200e+01,10.173051
112,5.601100e+01,10.009953
113,5.651200e+01,9.870055
114,5.701100e+01,9.751853
115,5.751100e+01,9.732800
116,5.801100e+01,9.801696
117,5.851100e+01,9.938794
118,5.901100e+01,10.062077
119,5.951100e+01,10.190760
120,6.001100e+01,10.244036
121,6.051200e+01,10.226624
122,6.101100e+01,10.144640
123,6.151100e+01,9.986386
124,6.201100e+01,9.861177
125,6.251000e+01,9.770562
126,6.301000e+01,9.770091
127,6.351100e+01,9.850027
128,6.401100e+01,9.953320
129,6.451100e+01,10.092081
130,6.501100e+01,10.180552
131,6.551100e+01,10.228949
132,6.601100e+01,10.204026
133,6.651100e+01,10.095790
134,6.701100e+01,9.971642
135,6.751000e+01,9.830706
136,6.801100e+01,9.771173
137,6.851000e+01,9.782295
138,6.901100e+01,9.854330
139,6.951100e+01,9.991316
140,7.001100e+01,10.104957
141,7.051100e+01,10.210360
142,7.101300e+01,10.240741
143,7.151100e+01,10.192237
144,7.201500e+01,10.058402
145,7.251100e+01,9.924506
146,7.301100e+01,9.789562
147,7.351100e+01,9.748854
148,7.401000e+01,9.790452
149,7.451100e+01,9.881146
150,7.501200e+01,10.025198
151,7.551200e+01,10.132027
152,7.601100e+01,10.218050
153,7.651200e+01,10.231460
154,7.701200e+01,10.165994
155,7.751100e+01,10.059382
156,7.801100e+01,9.905853
157,7.851000e+01,9.810257
158,7.901100e+01,9.770431
159,7.951000e+01,9.807627
160,8.001700e+01,9.916445
161,8.051100e+01,10.026102
162,8.101200e+01,10.151693
163,8.151100e+01,10.213214
164,8.201200e+01,10.215716
165,8.251100e+01,10.153482
166,8.301100e+01,10.021506
167,8.351100e+01,9.905154
168,8.401200e+01,9.797728
169,8.451400e+01,9.769393
170,8.501600e+01,9.818670
171,8.551200e+01,9.908444
172,8.601200e+01,10.043842
173,8.651400e+01,10.159888
174,8.701200e+01,10.212290
175,8.751100e+01,10.205851
176,8.801200e+01,10.139050
177,8.851100e+01,10.003506
178,8.901100e+01,9.890109
179,8.952800e+01,9.794263
