Point,Time (s),Temperature (K)
0,1.000000e-02,8.998785
1,5.110000e-01,8.998888
2,1.010000e+00,9.003079
3,1.511000e+00,9.007545
4,2.011000e+00,9.012420
5,2.522000e+00,9.009975
6,3.014000e+00,9.023521
7,3.511000e+00,9.115713
8,4.016000e+00,9.278536
9,4.511000e+00,9.437630
10,5.012000e+00,9.641912
11,5.512000e+00,9.799752
12,6.011000e+00,9.987723
13,6.517000e+00,10.119287
14,7.017000e+00,10.249356
15,7.517000e+00,10.320065
16,8.017000e+00,10.372101
17,8.517000e+00,10.384839
18,9.012000e+00,10.364131
19,9.512000e+00,10.318746
20,1.001200e+01,10.236902
21,1.051200e+01,10.165568
22,1.101200e+01,10.073887
23,1.151100e+01,10.003165
24,1.201100e+01,9.924806
25,1.251200e+01,9.884772
26,1.301100e+01,9.863603
27,1.351100e+01,9.861151
28,1.401100e+01,9.866239
29,1.451100e+01,9.875181
30,1.501100e+01,9.895762
31,1.551100e+01,9.919945
32,1.601200e+01,9.953415
33,1.651100e+01,9.985341
34,1.701200e+01,10.024795
35,1.751400e+01,10.054147
36,1.801200e+01,10.077975
37,1.851600e+01,10.083120
38,1.901100e+01,10.078632
39,1.951800e+01,10.071588
40,2.002000e+01,10.057029
41,2.051600e+01,10.046725
42,2.101600e+01,10.040390
43,2.151100e+01,10.029003
44,2.201100e+01,10.020358
45,2.251100e+01,10.003184
46,2.301200e+01,9.989297
47,2.351100e+01,9.980656
48,2.401100e+01,9.976869
49,2.451100e+01,9.971856
50,2.501100e+01,9.966349
51,2.551100e+01,9.971275
52,2.601100e+01,9.980938
53,2.651200e+01,9.987100
54,2.701200e+01,9.996358
55,2.751200e+01,10.005718
56,2.801200e+01,10.009433
57,2.851100e+01,10.015429
58,2.901500e+01,10.018596
59,2.951100e+01,10.015832
60,3.001100e+01,10.013211
61,3.051100e+01,10.008395
62,3.101700e+01,10.004140
63,3.151100e+01,9.996744
64,3.201500e+01,9.991758
65,3.251100e+01,9.990098
66,3.301600e+01,9.997691
67,3.351200e+01,10.006787
68,3.401200e+01,10.011785
69,3.451100e+01,10.009902
70,3.501100e+01,10.003556
71,3.551000e+01,10.002047
72,3.601000e+01,10.000559
73,3.651000e+01,10.002687
74,3.701100e+01,10.004215
75,3.750900e+01,9.999358
76,3.801100e+01,9.991700
77,3.851100e+01,9.993386
78,3.901100e+01,9.992975
79,3.951200e+01,9.990638
80,4.001100e+01,9.989036
81,4.051100e+01,9.990303
82,4.101200e+01,9.997216
83,4.151100e+01,10.003298
84,4.201200e+01,10.012374
85,4.251200e+01,10.016953
86,4.301200e+01,10.021646
87,4.351200e+01,10.024604
88,4.401200e+01,10.020377
89,4.451200e+01,10.017156
90,4.501200e+01,10.014402
91,4.551600e+01,10.012695
92,4.601100e+01,9.999239
93,4.651400e+01,9.979065
94,4.701200e+01,9.959525
95,4.751600e+01,9.957961
96,4.801100e+01,9.966815
97,4.851200e+01,9.982855
