Point,Time (s),Temperature (K)
0,1.200000e-02,8.999421
1,5.120000e-01,9.017492
2,1.009000e+00,9.030252
3,1.509000e+00,9.045075
4,2.009000e+00,9.041249
5,2.509000e+00,9.034392
6,3.009000e+00,9.032364
7,3.509000e+00,9.014327
8,4.012000e+00,8.990005
9,4.510000e+00,8.971538
10,5.012000e+00,8.978132
11,5.514000e+00,9.049364
12,6.016000e+00,9.186200
13,6.514000e+00,9.338746
14,7.015000e+00,9.548038
15,7.516000e+00,9.722512
16,8.014000e+00,9.930222
17,8.515000e+00,10.089446
18,9.015000e+00,10.251199
19,9.516000e+00,10.343222
20,1.001600e+01,10.422606
21,1.051600e+01,10.452495
22,1.101000e+01,10.449153
23,1.151000e+01,10.420321
24,1.201000e+01,10.372426
25,1.251000e+01,10.322238
26,1.300900e+01,10.241070
27,1.351900e+01,10.166458
28,1.401000e+01,10.067991
29,1.451000e+01,9.990737
30,1.500900e+01,9.930047
31,1.551000e+01,9.902861
32,1.601000e+01,9.873883
33,1.651000e+01,9.863419
34,1.700900e+01,9.855186
35,1.751000e+01,9.866203
36,1.801000e+01,9.899845
37,1.851200e+01,9.932585
38,1.901000e+01,9.964367
39,1.951200e+01,9.988460
40,2.001000e+01,10.019625
41,2.051200e+01,10.047717
42,2.101000e+01,10.063935
43,2.151000e+01,10.073077
44,2.201000e+01,10.074798
45,2.252400e+01,10.070049
46,2.301000e+01,10.070024
47,2.351000e+01,10.063748
48,2.401000e+01,10.051322
49,2.451000e+01,10.020067
50,2.501000e+01,9.997128
51,2.551000e+01,9.983560
52,2.600900e+01,9.980668
53,2.651000e+01,9.969213
54,2.701000e+01,9.962536
55,2.751000e+01,9.963392
56,2.801000e+01,9.972285
57,2.851000e+01,9.984368
58,2.901000e+01,9.991188
59,2.951000e+01,10.002212
60,3.000900e+01,10.001317
61,3.050800e+01,10.000238
62,3.101000e+01,10.002680
63,3.150900e+01,9.999372
64,3.201000e+01,9.990519
65,3.250900e+01,9.991563
66,3.301200e+01,10.000793
67,3.351000e+01,10.008114
68,3.401200e+01,10.004332
69,3.451000e+01,10.002898
70,3.501200e+01,10.003427
71,3.550900e+01,9.999114
72,3.601200e+01,9.991837
73,3.650900e+01,9.989331
74,3.700900e+01,9.992787
75,3.751000e+01,9.994349
76,3.800900e+01,9.993149
77,3.850800e+01,9.990527
78,3.901000e+01,9.987975
79,3.951000e+01,10.002336
80,4.000900e+01,10.021008
81,4.050900e+01,10.019556
82,4.101000e+01,10.007384
83,4.151000e+01,9.993304
84,4.201000e+01,9.996545
85,4.251000e+01,10.000315
86,4.301000e+01,10.003110
87,4.351000e+01,10.007538
88,4.401000e+01,10.003135
89,4.450900e+01,9.998546
90,4.500900e+01,9.996684
91,4.551000e+01,9.992237
92,4.600900e+01,9.985363
93,4.651000e+01,9.973998
94,4.700900e+01,9.969239
95,4.751200e+01,9.986293
96,4.801000e+01,10.009272
97,4.851200e+01,10.011718
98,4.900900e+01,9.996515
99,4.951200e+01,9.986609
100,5.001000e+01,9.977396
101,5.051000e+01,9.986799
102,5.101000e+01,10.006076
103,5.151100e+01,10.019619
104,5.200900e+01,10.026678
105,5.251000e+01,10.030086
106,5.301000e+01,10.034221
107,5.351000e+01,10.021732
108,5.401100e+01,10.007924
109,5.450900e+01,10.003588
110,5.501000e+01,10.003325
111,5.551000e+01,9.991520
112,5.601000e+01,9.979870
113,5.651000e+01,9.973067
114,5.701000e+01,9.975943
115,5.750900e+01,9.975656
116,5.801000e+01,9.974984
117,5.851000e+01,9.984097
118,5.901000e+01,9.991986
119,5.951000e+01,9.995372
120,6.000900e+01,9.995552
121,6.051000e+01,9.998348
122,6.100900e+01,9.998090
123,6.151000e+01,10.007192
124,6.201200e+01,10.020805
125,6.251100e+01,10.029307
126,6.301200e+01,10.030610
127,6.351000e+01,10.037030
128,6.401200e+01,10.035163
129,6.450900e+01,10.029407
130,6.501100e+01,10.021189
131,6.551000e+01,10.000461
132,6.601000e+01,9.973845
133,6.650900e+01,9.964705
134,6.701000e+01,9.970696
135,6.751000e+01,9.981720
136,6.800900e+01,9.983323
137,6.850900e+01,9.980209
138,6.900900e+01,9.987171
139,6.951000e+01,9.990586
140,7.001000e+01,9.994602
141,7.051000e+01,9.990093
142,7.100900e+01,9.990602
143,7.151000e+01,9.991456
