Point,Time (s),Temperature (K)
0,1.500000e-02,8.986822
1,5.100000e-01,8.997494
2,1.013000e+00,9.011173
3,1.510000e+00,9.009637
4,2.014000e+00,8.990249
5,2.510000e+00,8.979087
6,3.010000e+00,8.983597
7,3.510000e+00,9.057127
8,4.010000e+00,9.222766
9,4.510000e+00,9.394162
10,5.011000e+00,9.641493
11,5.510000e+00,9.836645
12,6.016000e+00,10.074920
13,6.515000e+00,10.246605
14,7.017000e+00,10.419152
15,7.517000e+00,10.507695
16,8.017000e+00,10.570748
17,8.511000e+00,10.563261
18,9.011000e+00,10.512942
19,9.511000e+00,10.453596
20,1.001100e+01,10.350584
21,1.051100e+01,10.253493
22,1.101000e+01,10.122344
23,1.151100e+01,10.019871
24,1.201000e+01,9.900084
25,1.251100e+01,9.821666
26,1.301100e+01,9.766493
27,1.351000e+01,9.744307
28,1.401100e+01,9.726815
29,1.451500e+01,9.741887
30,1.501100e+01,9.794823
31,1.551300e+01,9.854137
32,1.601100e+01,9.929175
33,1.651400e+01,9.994135
34,1.701100e+01,10.043981
35,1.751100e+01,10.112181
36,1.801100e+01,10.147450
37,1.851100e+01,10.170850
38,1.901000e+01,10.174691
39,1.951000e+01,10.167418
40,2.001200e+01,10.142303
41,2.051000e+01,10.098021
42,2.101100e+01,10.065878
43,2.151100e+01,10.020019
44,2.201100e+01,10.000195
45,2.251000e+01,9.972466
46,2.301000e+01,9.949905
47,2.351000e+01,9.930430
48,2.401100e+01,9.925335
49,2.451000e+01,9.922568
50,2.501000e+01,9.920781
51,2.551100e+01,9.936190
52,2.601000e+01,9.939197
53,2.651000e+01,9.943850
54,2.701100e+01,9.963715
55,2.751100e+01,10.000843
56,2.801100e+01,10.028446
57,2.851000e+01,10.023541
58,2.901600e+01,10.033831
59,2.951100e+01,10.052408
60,3.001300e+01,10.055808
61,3.051100e+01,10.068987
62,3.101500e+01,10.070049
63,3.151100e+01,10.044884
64,3.201100e+01,10.004673
65,3.251100e+01,9.984096
66,3.301000e+01,9.962681
67,3.351000e+01,9.939631
68,3.401100e+01,9.934956
69,3.451100e+01,9.940527
70,3.501100e+01,9.962079
71,3.551000e+01,9.981189
72,3.601100e+01,10.004791
73,3.651100e+01,10.026584
74,3.701000e+01,10.034925
75,3.751100e+01,10.033961
76,3.801100e+01,10.033545
77,3.851100e+01,10.036756
78,3.901100e+01,10.028025
79,3.951000e+01,10.026552
80,4.001000e+01,10.017210
81,4.051000e+01,9.999422
82,4.101100e+01,9.975339
83,4.151000e+01,9.958059
84,4.201000e+01,9.961185
85,4.251000e+01,9.961092
86,4.301000e+01,9.950400
87,4.351500e+01,9.959864
88,4.401000e+01,9.971747
89,4.451300e+01,9.989716
90,4.501100e+01,10.015357
91,4.551500e+01,9.998257
92,4.601000e+01,9.986922
93,4.651100e+01,10.005365
94,4.701100e+01,10.029303
95,4.751100e+01,10.038973
96,4.801100e+01,10.038437
97,4.851100e+01,10.037136
98,4.901100e+01,10.033547
99,4.951100e+01,10.021726
100,5.001100e+01,10.012295
101,5.051100e+01,10.005605
102,5.101100e+01,9.997367
103,5.151100e+01,9.988319
104,5.201100e+01,9.995057
105,5.251100e+01,10.005539
106,5.301100e+01,10.006189
107,5.351100e+01,9.990052
108,5.401100e+01,9.983521
109,5.451100e+01,9.992915
110,5.501100e+01,9.995045
111,5.551100e+01,9.993536
112,5.601100e+01,9.983413
113,5.651000e+01,9.981648
114,5.701200e+01,9.987197
115,5.751100e+01,9.991328
116,5.801400e+01,9.992881
117,5.851000e+01,9.993031
118,5.901300e+01,9.998507
119,5.951100e+01,10.007316
120,6.001400e+01,10.005524
121,6.051100e+01,10.000379
122,6.101000e+01,9.998960
123,6.151100e+01,9.993877
124,6.201100e+01,10.003860
125,6.251100e+01,10.013266
126,6.301100e+01,10.016027
127,6.351100e+01,10.016843
128,6.401000e+01,10.017586
129,6.451100e+01,10.027514
130,6.501100e+01,10.013190
131,6.551100e+01,10.002139
132,6.601100e+01,9.985671
133,6.651100e+01,9.968891
134,6.701100e+01,9.966002
135,6.751100e+01,9.984096
136,6.801000e+01,9.992383
137,6.851100e+01,9.998516
138,6.901100e+01,10.008202
139,6.951100e+01,10.007294
140,7.001100e+01,10.004707
141,7.051000e+01,10.008993
142,7.101100e+01,10.017356
143,7.151100e+01,10.008050
144,7.201100e+01,10.009404
145,7.251500e+01,10.001838
146,7.301000e+01,9.999002
147,7.351300e+01,10.004813
148,7.401100e+01,10.000573
149,7.451400e+01,9.985782
150,7.501100e+01,9.980636
151,7.551100e+01,9.962570
152,7.601100e+01,9.974380
153,7.651100e+01,9.987822
154,7.701100e+01,9.998278
155,7.751100e+01,10.012101
156,7.801100e+01,10.013917
157,7.851000e+01,9.995544
158,7.901100e+01,9.992511
159,7.951100e+01,10.002199
160,8.001100e+01,10.008507
161,8.051700e+01,10.006583
162,8.101600e+01,10.005192
163,8.151200e+01,9.994599
164,8.201700e+01,9.993640
165,8.251600e+01,9.992414
166,8.301100e+01,10.006378
167,8.351100e+01,10.018938
168,8.401000e+01,10.019358
169,8.451000e+01,10.020482
170,8.501100e+01,10.014434
171,8.551000e+01,10.007213
172,8.601200e+01,10.001938
173,8.651000e+01,9.970493
174,8.701500e+01,9.968221
175,8.751000e+01,9.967713
176,8.801300e+01,9.977104
177,8.851000e+01,9.992316
178,8.901500e+01,10.004201
179,8.951100e+01,10.015038
180,9.001700e+01,10.028445
181,9.051000e+01,10.028262
182,9.101700e+01,10.027426
183,9.151700e+01,10.019938
184,9.201600e+01,10.003001
185,9.251000e+01,9.990032
186,9.301100e+01,9.972512
