Point,Time (s),Temperature (K)
0,1.200000e-02,8.702490
1,5.110000e-01,8.792018
2,1.010000e+00,8.955288
3,1.511000e+00,9.174320
4,2.010000e+00,9.580451
5,2.519000e+00,9.953835
6,3.016000e+00,10.408125
7,3.515000e+00,10.712944
8,4.015000e+00,10.964833
9,4.512000e+00,11.050323
10,5.010000e+00,11.021982
11,5.511000e+00,10.907204
12,6.010000e+00,10.668283
13,6.510000e+00,10.348092
14,7.010000e+00,10.075062
15,7.510000e+00,9.798985
16,8.010000e+00,9.677819
17,8.509000e+00,9.668879
18,9.009000e+00,9.760498
19,9.509000e+00,9.954366
20,1.001000e+01,10.136560
21,1.051100e+01,10.359838
22,1.100900e+01,10.500620
23,1.151000e+01,10.588624
24,1.200900e+01,10.569700
25,1.251000e+01,10.434049
26,1.301000e+01,10.249071
27,1.351000e+01,9.966611
28,1.400900e+01,9.756052
29,1.450900e+01,9.591648
30,1.501000e+01,9.562174
31,1.551000e+01,9.645016
32,1.600900e+01,9.783848
33,1.651000e+01,10.012614
34,1.701000e+01,10.200224
35,1.751000e+01,10.394712
36,1.801000e+01,10.487605
37,1.851000e+01,10.494448
38,1.901100e+01,10.407665
39,1.951100e+01,10.198228
40,2.001300e+01,9.933545
41,2.051000e+01,9.739014
42,2.100900e+01,9.584693
43,2.151000e+01,9.559066
44,2.200900e+01,9.643206
45,2.250900e+01,9.779454
46,2.300900e+01,9.993303
47,2.351000e+01,10.166002
48,2.401000e+01,10.345306
49,2.451000e+01,10.434087
50,2.501000e+01,10.447577
51,2.551100e+01,10.369553
52,2.601000e+01,10.172683
53,2.650900e+01,9.968687
54,2.700900e+01,9.727411
55,2.751000e+01,9.596743
56,2.801000e+01,9.550704
57,2.850900e+01,9.608385
58,2.901000e+01,9.769500
59,2.950900e+01,9.937329
60,3.001000e+01,10.152882
61,3.051000e+01,10.300532
62,3.101000e+01,10.419908
63,3.151000e+01,10.441005
64,3.201000e+01,10.360106
65,3.251400e+01,10.214638
66,3.301000e+01,9.972371
67,3.351100e+01,9.779637
68,3.400900e+01,9.607009
69,3.451300e+01,9.553685
70,3.500900e+01,9.601247
71,3.550900e+01,9.750504
72,3.600900e+01,9.912961
73,3.651000e+01,10.127231
74,3.701000e+01,10.276442
75,3.751000e+01,10.399154
76,3.801000e+01,10.428587
77,3.851000e+01,10.361864
78,3.901000e+01,10.229260
79,3.951000e+01,9.997736
80,4.000900e+01,9.807748
81,4.051000e+01,9.634032
82,4.100900e+01,9.577900
83,4.151000e+01,9.619295
84,4.201000e+01,9.724045
85,4.250900e+01,9.907357
86,4.301000e+01,10.069583
87,4.351000e+01,10.252034
88,4.401000e+01,10.356067
89,4.451000e+01,10.407899
90,4.501000e+01,10.372199
91,4.551000e+01,10.228841
92,4.601000e+01,10.056040
93,4.651000e+01,9.822720
94,4.701300e+01,9.672421
95,4.751000e+01,9.581467
96,4.801100e+01,9.598138
97,4.851000e+01,9.716425
98,4.901200e+01,9.903599
99,4.951000e+01,10.068353
100,5.000900e+01,10.250218
101,5.051100e+01,10.351869
102,5.101000e+01,10.401010
103,5.151100e+01,10.364114
104,5.201000e+01,10.223341
105,5.251000e+01,10.055884
106,5.300900e+01,9.831203
107,5.350900e+01,9.686392
108,5.400900e+01,9.598579
109,5.450900e+01,9.613401
110,5.501000e+01,9.722799
111,5.550900e+01,9.861400
112,5.601000e+01,10.058745
113,5.651000e+01,10.206423
114,5.701000e+01,10.343231
115,5.751100e+01,10.395407
116,5.801000e+01,10.366512
117,5.851000e+01,10.265244
118,5.900900e+01,10.063309
119,5.950900e+01,9.877481
120,6.001000e+01,9.680482
121,6.051100e+01,9.594051
122,6.101000e+01,9.598828
123,6.151300e+01,9.682229
124,6.201000e+01,9.850275
125,6.251200e+01,10.010625
126,6.301000e+01,10.203481
127,6.351200e+01,10.345961
128,6.401000e+01,10.404666
129,6.451000e+01,10.384993
130,6.501000e+01,10.287207
131,6.551100e+01,10.078831
132,6.601000e+01,9.882283
133,6.651000e+01,9.675701
134,6.700900e+01,9.586381
135,6.750900e+01,9.589870
136,6.800900e+01,9.674245
137,6.851000e+01,9.850484
138,6.901000e+01,10.019644
139,6.951000e+01,10.219065
140,7.001000e+01,10.339364
141,7.051000e+01,10.410463
142,7.101000e+01,10.392455
143,7.151000e+01,10.268480
144,7.201000e+01,10.102006
145,7.250900e+01,9.860693
146,7.300900e+01,9.696276
147,7.350900e+01,9.582893
148,7.400900e+01,9.583763
149,7.450900e+01,9.688793
150,7.500900e+01,9.827803
151,7.551000e+01,10.030516
152,7.601200e+01,10.187918
153,7.651000e+01,10.343147
154,7.701100e+01,10.407831
155,7.751000e+01,10.389059
156,7.801100e+01,10.253940
157,7.850900e+01,10.086708
158,7.901000e+01,9.858000
159,7.950900e+01,9.705379
160,8.001000e+01,9.602904
161,8.051000e+01,9.605172
162,8.100900e+01,9.700352
163,8.151200e+01,9.828186
164,8.201000e+01,10.021586
165,8.251000e+01,10.171391
166,8.301000e+01,10.317117
167,8.351000e+01,10.382222
168,8.401000e+01,10.375601
169,8.451000e+01,10.292170
170,8.501000e+01,10.103211
171,8.551000e+01,9.918978
172,8.600900e+01,9.714465
173,8.650900e+01,9.614260
174,8.701000e+01,9.594786
175,8.751200e+01,9.662152
176,8.800900e+01,9.820086
177,8.850900e+01,9.978307
178,8.901000e+01,10.178347
179,8.952300e+01,10.336734
