Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.900000e-02,11.022755,3.844520e-05,8.364000
1,5.370000e-01,11.023765,3.844520e-05,8.364000
2,1.036000e+00,11.021379,3.844520e-05,8.364000
3,1.536000e+00,11.019621,3.844520e-05,8.412000
4,2.036000e+00,11.017118,3.844520e-05,8.412000
5,2.537000e+00,11.015568,3.844520e-05,8.364000
6,3.037000e+00,11.015968,3.844520e-05,8.364000
7,3.536000e+00,11.013924,3.844520e-05,8.412000
8,4.037000e+00,11.009088,3.844520e-05,8.412000
9,4.538000e+00,11.006517,3.844520e-05,8.364000
10,5.038000e+00,11.003068,3.844520e-05,8.364000
11,5.537000e+00,11.000627,3.844520e-05,8.412000
12,6.039000e+00,10.990561,3.844520e-05,8.412000
13,6.542000e+00,10.980951,3.844520e-05,8.364000
14,7.038000e+00,10.971040,3.844520e-05,8.364000
15,7.541000e+00,10.960767,3.844520e-05,8.364000
16,8.037000e+00,10.952045,3.844520e-05,8.364000
17,8.541000e+00,10.945439,3.844520e-05,8.364000
18,9.037000e+00,10.938403,3.844520e-05,8.364000
19,9.538000e+00,10.930328,3.844520e-05,8.364000
20,1.003700e+01,10.924488,3.844520e-05,8.412000
21,1.053600e+01,10.916213,3.844520e-05,8.412000
22,1.103600e+01,10.908205,3.844520e-05,8.364000
23,1.153600e+01,10.898650,3.844520e-05,8.364000
24,1.203700e+01,10.890729,3.844520e-05,8.364000
25,1.253600e+01,10.882945,3.844520e-05,8.364000
26,1.304400e+01,10.870270,3.844520e-05,8.364000
27,1.353700e+01,10.857838,3.844520e-05,8.364000
28,1.403700e+01,10.849948,3.844520e-05,8.364000
29,1.453700e+01,10.838305,3.844520e-05,8.364000
30,1.503700e+01,10.829754,3.844520e-05,8.364000
31,1.553700e+01,10.817183,3.844520e-05,8.364000
32,1.603700e+01,10.805569,3.844520e-05,8.364000
33,1.653700e+01,10.793105,3.844520e-05,8.364000
34,1.703800e+01,10.785804,3.844520e-05,8.364000
35,1.753700e+01,10.779532,3.844520e-05,8.412000
36,1.803700e+01,10.772307,3.844520e-05,8.412000
37,1.853600e+01,10.767606,3.844520e-05,8.364000
38,1.903600e+01,10.763604,3.844520e-05,8.364000
39,1.953700e+01,10.751923,3.844520e-05,8.364000
40,2.003600e+01,10.742087,3.844520e-05,8.364000
41,2.053600e+01,10.734179,3.844520e-05,8.364000
42,2.104200e+01,10.729086,3.844520e-05,8.364000
43,2.153800e+01,10.723198,3.844520e-05,8.364000
44,2.204100e+01,10.717320,3.844520e-05,8.364000
45,2.253700e+01,10.713694,3.844520e-05,8.364000
46,2.304100e+01,10.710407,3.844520e-05,8.364000
47,2.353600e+01,10.704570,3.844520e-05,8.364000
48,2.403700e+01,10.698163,3.844520e-05,8.364000
49,2.453700e+01,10.691300,3.844520e-05,8.364000
50,2.503600e+01,10.684376,3.844520e-05,8.412000
51,2.553700e+01,10.673175,3.844520e-05,8.412000
52,2.603700e+01,10.663606,3.844520e-05,8.412000
53,2.653500e+01,10.660107,3.844520e-05,8.364000
54,2.703600e+01,10.653706,3.844520e-05,8.364000
55,2.753600e+01,10.648880,3.844520e-05,8.364000
56,2.803800e+01,10.640475,3.844520e-05,8.364000
57,2.853600e+01,10.629326,3.844520e-05,8.364000
58,2.903600e+01,10.617191,3.844520e-05,8.364000
59,2.953700e+01,10.607317,3.844520e-05,8.364000
60,3.003700e+01,10.595519,3.844520e-05,8.364000
61,3.053700e+01,10.585428,3.844520e-05,8.364000
62,3.103800e+01,10.574959,3.844520e-05,8.364000
63,3.153700e+01,10.568072,3.844520e-05,8.364000
64,3.203600e+01,10.561147,3.844520e-05,8.370000
65,3.253600e+01,10.555592,3.844520e-05,8.370000
66,3.303600e+01,10.547607,3.844520e-05,8.364000
67,3.353600e+01,10.540377,3.844520e-05,8.364000
68,3.403700e+01,10.536471,3.844520e-05,8.364000
69,3.453900e+01,10.534278,3.844520e-05,8.364000
70,3.503700e+01,10.532154,3.844520e-05,8.370000
71,3.553600e+01,10.528302,3.844520e-05,8.370000
72,3.603800e+01,10.521004,3.844520e-05,8.370000
73,3.654000e+01,10.514402,3.844520e-05,8.418000
74,3.703700e+01,10.504807,3.844520e-05,8.418000
75,3.754100e+01,10.496515,3.844520e-05,8.412000
76,3.803800e+01,10.490061,3.844520e-05,8.418000
77,3.853800e+01,10.482421,3.844520e-05,8.370000
78,3.903700e+01,10.475504,3.844520e-05,8.370000
79,3.954400e+01,10.464223,3.844520e-05,8.364000
80,4.003700e+01,10.458878,3.844520e-05,8.412000
81,4.053700e+01,10.449203,3.844520e-05,8.418000
82,4.103600e+01,10.437849,3.844520e-05,8.418000
83,4.153700e+01,10.423756,3.844520e-05,8.370000
84,4.203700e+01,10.415645,3.844520e-05,8.370000
85,4.253600e+01,10.403688,3.844520e-05,8.370000
86,4.303700e+01,10.396407,3.844520e-05,8.370000
87,4.353700e+01,10.384827,3.844520e-05,8.370000
88,4.403700e+01,10.375350,3.844520e-05,8.370000
89,4.453700e+01,10.367401,3.844520e-05,8.370000
90,4.503600e+01,10.362247,3.844520e-05,8.370000
91,4.553600e+01,10.356977,3.844520e-05,8.370000
92,4.603700e+01,10.356402,3.844520e-05,8.370000
93,4.653600e+01,10.355227,3.844520e-05,8.370000
94,4.703800e+01,10.356439,3.844520e-05,8.370000
95,4.753700e+01,10.349723,3.844520e-05,8.370000
96,4.803600e+01,10.339717,3.844520e-05,8.370000
