Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.000000e-02,7.000249,0.000000e+00,0.000000
1,5.290000e-01,6.997508,0.000000e+00,0.000000
2,1.033000e+00,6.997494,0.000000e+00,0.000000
3,1.529000e+00,7.000186,0.000000e+00,0.000000
4,6.246000e+00,0.000000,0.000000e+00,0.000000
5,6.295000e+00,7.026491,0.000000e+00,0.000000
6,6.327000e+00,7.026491,0.000000e+00,0.000000
7,6.362000e+00,7.027949,0.000000e+00,0.000000
8,6.396000e+00,7.027949,0.000000e+00,0.000000
9,6.427000e+00,7.027949,0.000000e+00,0.000000
10,6.460000e+00,7.027949,0.000000e+00,0.000000
11,6.492000e+00,7.029393,0.000000e+00,0.000000
12,6.531000e+00,7.029393,0.000000e+00,0.000000
13,6.569000e+00,7.029393,0.000000e+00,0.000000
14,7.037000e+00,7.038971,0.000000e+00,0.000000
15,7.532000e+00,7.041162,0.000000e+00,0.000000
16,8.035000e+00,7.054754,0.000000e+00,90.000000
17,8.530000e+00,7.068662,0.000000e+00,0.000000
18,9.030000e+00,7.080965,0.000000e+00,0.000000
19,9.530000e+00,7.089975,0.000000e+00,0.000000
20,1.003000e+01,7.094882,0.000000e+00,0.000000
21,1.053000e+01,7.101780,0.000000e+00,0.000000
22,1.103000e+01,7.109345,0.000000e+00,0.000000
23,1.152900e+01,7.119080,0.000000e+00,0.000000
24,1.203400e+01,7.124360,0.000000e+00,0.000000
25,1.252900e+01,7.124900,0.000000e+00,0.000000
26,1.303000e+01,7.142088,0.000000e+00,0.000000
27,1.353000e+01,7.152907,0.000000e+00,0.000000
28,1.403000e+01,7.162675,0.000000e+00,0.000000
29,1.453100e+01,7.166758,0.000000e+00,0.000000
30,1.502900e+01,7.174417,0.000000e+00,0.000000
31,1.552900e+01,7.182152,0.000000e+00,0.000000
32,1.603300e+01,7.196576,0.000000e+00,0.000000
33,1.653000e+01,7.206261,0.000000e+00,0.000000
34,1.702900e+01,7.206614,0.000000e+00,0.000000
35,1.753600e+01,7.212248,0.000000e+00,0.000000
36,1.803000e+01,7.213169,0.000000e+00,0.000000
37,1.853400e+01,7.223899,0.000000e+00,0.000000
38,1.903100e+01,7.236748,0.000000e+00,90.000000
39,1.953600e+01,7.247376,0.000000e+00,0.000000
40,2.004800e+01,7.251592,0.000000e+00,0.000000
41,2.053600e+01,7.255080,0.000000e+00,0.000000
42,2.103500e+01,7.263931,0.000000e+00,0.000000
43,2.153400e+01,7.281580,0.000000e+00,0.000000
