Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,4.100000e-02,10.287166,3.844520e-05,8.370000
1,5.400000e-01,10.290268,3.844520e-05,8.370000
2,1.036000e+00,10.284641,3.844520e-05,8.370000
3,1.540000e+00,10.284674,3.844520e-05,8.370000
4,2.037000e+00,10.287576,3.844520e-05,8.370000
5,2.540000e+00,10.289471,3.844520e-05,8.370000
6,3.035000e+00,10.286889,3.844520e-05,8.370000
7,3.536000e+00,10.287225,3.844520e-05,8.370000
8,4.037000e+00,10.285893,3.844520e-05,8.370000
9,4.534000e+00,10.285898,3.844520e-05,8.370000
10,5.035000e+00,10.286994,3.844520e-05,8.370000
11,5.537000e+00,10.288864,3.844520e-05,8.370000
12,6.036000e+00,10.288081,3.844520e-05,8.370000
13,6.535000e+00,10.288357,3.844520e-05,8.370000
14,7.037000e+00,10.289955,3.844520e-05,8.370000
15,7.541000e+00,10.295709,3.844520e-05,8.370000
16,8.041000e+00,10.294802,3.844520e-05,8.370000
17,8.537000e+00,10.291052,3.844520e-05,8.370000
18,9.037000e+00,10.284532,3.844520e-05,8.370000
19,9.544000e+00,10.279272,3.844520e-05,8.370000
20,1.003700e+01,10.277475,3.844520e-05,8.370000
21,1.053700e+01,10.276250,3.844520e-05,8.370000
22,1.103600e+01,10.277316,3.844520e-05,8.370000
23,1.153600e+01,10.271401,3.844520e-05,8.370000
24,1.204000e+01,10.267558,3.844520e-05,8.370000
25,1.253900e+01,10.269623,3.844520e-05,8.370000
26,1.303900e+01,10.270487,3.844520e-05,8.418000
27,1.353500e+01,10.274506,3.844520e-05,8.370000
28,1.404400e+01,10.273051,3.844520e-05,8.370000
29,1.454000e+01,10.271416,3.844520e-05,8.370000
30,1.504100e+01,10.271872,3.844520e-05,8.370000
31,1.554000e+01,10.272963,3.844520e-05,8.418000
32,1.603900e+01,10.273193,3.844520e-05,8.370000
33,1.653600e+01,10.270027,3.844520e-05,8.370000
34,1.704400e+01,10.265370,3.844520e-05,8.370000
35,1.754000e+01,10.262984,3.844520e-05,8.370000
36,1.804000e+01,10.264284,3.844520e-05,8.370000
37,1.854000e+01,10.265513,3.844520e-05,8.370000
38,1.904000e+01,10.268004,3.844520e-05,8.370000
39,1.953600e+01,10.264193,3.844520e-05,8.370000
40,2.003900e+01,10.262999,3.844520e-05,8.370000
41,2.053700e+01,10.264805,3.844520e-05,8.370000
42,2.103600e+01,10.265337,3.844520e-05,8.370000
43,2.153600e+01,10.263602,3.844520e-05,8.370000
44,2.203500e+01,10.270094,3.844520e-05,8.370000
45,2.253700e+01,10.276119,3.844520e-05,8.370000
46,2.303800e+01,10.270390,3.844520e-05,8.370000
47,2.354000e+01,10.268104,3.844520e-05,8.370000
48,2.403900e+01,10.267911,3.844520e-05,8.370000
49,2.453600e+01,10.268493,3.844520e-05,8.370000
50,2.503600e+01,10.263574,3.844520e-05,8.370000
51,2.554500e+01,10.259959,3.844520e-05,8.370000
52,2.603600e+01,10.253419,3.844520e-05,8.370000
53,2.653500e+01,10.248411,3.844520e-05,8.370000
54,2.703600e+01,10.244974,3.844520e-05,8.418000
55,2.753700e+01,10.246241,3.844520e-05,8.418000
56,2.803600e+01,10.240723,3.844520e-05,8.370000
57,2.853600e+01,10.233952,3.844520e-05,8.370000
58,2.903800e+01,10.235566,3.838560e-05,8.376000
59,2.954100e+01,10.234407,3.844520e-05,8.370000
60,3.003500e+01,10.232005,3.844520e-05,8.370000
61,3.053900e+01,10.231867,3.844520e-05,8.370000
62,3.103700e+01,10.234097,3.844520e-05,8.370000
63,3.153900e+01,10.237870,3.844520e-05,8.370000
64,3.204000e+01,10.243749,3.844520e-05,8.418000
65,3.254000e+01,10.250934,3.844520e-05,8.418000
66,3.304000e+01,10.250917,3.844520e-05,8.370000
67,3.354100e+01,10.253897,3.844520e-05,8.370000
68,3.404200e+01,10.252569,3.844520e-05,8.370000
69,3.453600e+01,10.250434,3.844520e-05,8.370000
70,3.503600e+01,10.250847,3.844520e-05,8.370000
71,3.554200e+01,10.253047,3.844520e-05,8.370000
72,3.604300e+01,10.249082,3.844520e-05,8.370000
73,3.653700e+01,10.248289,3.844520e-05,8.370000
74,3.703600e+01,10.244490,3.844520e-05,8.370000
75,3.753400e+01,10.242484,3.844520e-05,8.370000
76,3.803800e+01,10.241921,3.844520e-05,8.370000
77,3.853600e+01,10.239338,3.838560e-05,8.376000
78,3.903600e+01,10.237274,3.844520e-05,8.370000
79,3.953500e+01,10.235344,3.844520e-05,8.370000
80,4.003600e+01,10.232237,3.844520e-05,8.370000
81,4.053600e+01,10.226668,3.844520e-05,8.370000
82,4.103700e+01,10.223283,3.844520e-05,8.370000
83,4.155000e+01,10.222014,3.844520e-05,8.370000
84,4.204000e+01,10.221745,3.844520e-05,8.370000
85,4.253600e+01,10.221565,3.844520e-05,8.370000
86,4.303500e+01,10.218926,3.838560e-05,8.376000
87,4.354000e+01,10.218745,3.838560e-05,8.376000
88,4.404100e+01,10.217700,3.838560e-05,8.376000
89,4.454100e+01,10.222931,3.844520e-05,8.370000
90,4.504100e+01,10.224988,3.838560e-05,8.376000
91,4.553800e+01,10.227236,3.844520e-05,8.370000
92,4.604400e+01,10.226757,3.844520e-05,8.370000
93,4.653600e+01,10.227880,3.844520e-05,8.370000
94,4.703600e+01,10.232381,3.844520e-05,8.370000
95,4.753600e+01,10.229486,3.838560e-05,8.376000
96,4.803700e+01,10.228473,3.838560e-05,8.376000
97,4.853700e+01,10.229853,3.838560e-05,8.376000
98,4.903500e+01,10.227867,3.844520e-05,8.370000
99,4.954000e+01,10.226601,3.844520e-05,8.370000
100,5.003600e+01,10.222679,3.844520e-05,8.370000
101,5.053600e+01,10.222330,3.844520e-05,8.370000
102,5.103600e+01,10.217131,3.838560e-05,8.376000
103,5.153600e+01,10.217350,3.844520e-05,8.370000
104,5.203500e+01,10.214025,3.838560e-05,8.376000
105,5.253700e+01,10.212656,3.838560e-05,8.376000
106,5.304000e+01,10.213232,3.844520e-05,8.370000
107,5.353700e+01,10.216660,3.844520e-05,8.370000
108,5.403600e+01,10.216366,3.838560e-05,8.376000
109,5.453600e+01,10.216696,3.838560e-05,8.376000
110,5.504100e+01,10.213734,3.838560e-05,8.376000
111,5.554000e+01,10.212831,3.838560e-05,8.376000
112,5.604000e+01,10.204720,3.844520e-05,8.370000
113,5.654100e+01,10.202110,3.844520e-05,8.370000
114,5.704000e+01,10.199985,3.838560e-05,8.376000
115,5.754700e+01,10.198503,3.838560e-05,8.376000
116,5.803500e+01,10.200031,3.838560e-05,8.376000
117,5.854100e+01,10.199784,3.838560e-05,8.376000
118,5.903700e+01,10.199569,3.844520e-05,8.370000
119,5.953900e+01,10.198341,3.844520e-05,8.370000
120,6.003600e+01,10.198691,3.844520e-05,8.370000
121,6.054100e+01,10.199599,3.838560e-05,8.376000
122,6.103600e+01,10.199227,3.838560e-05,8.376000
123,6.153600e+01,10.202878,3.838560e-05,8.376000
124,6.203600e+01,10.203788,3.844520e-05,8.370000
125,6.253600e+01,10.205005,3.844520e-05,8.370000
126,6.303400e+01,10.207967,3.838560e-05,8.376000
127,6.354100e+01,10.206138,3.838560e-05,8.376000
128,6.403600e+01,10.202043,3.844520e-05,8.370000
129,6.453600e+01,10.204872,3.844520e-05,8.370000
130,6.503600e+01,10.205012,3.844520e-05,8.370000
131,6.553700e+01,10.202200,3.844520e-05,8.370000
132,6.603900e+01,10.198327,3.844520e-05,8.370000
133,6.653700e+01,10.189353,3.838560e-05,8.376000
134,6.703700e+01,10.189729,3.838560e-05,8.376000
135,6.755400e+01,10.188036,3.838560e-05,8.376000
136,6.804000e+01,10.186121,3.844520e-05,8.370000
137,6.853600e+01,10.186379,3.844520e-05,8.370000
138,6.904000e+01,10.185132,3.844520e-05,8.370000
139,6.954000e+01,10.179560,3.844520e-05,8.370000
140,7.004000e+01,10.178503,3.844520e-05,8.370000
141,7.053600e+01,10.179453,3.838560e-05,8.376000
142,7.103500e+01,10.182212,3.838560e-05,8.376000
143,7.153700e+01,10.183430,3.838560e-05,8.376000
144,7.203500e+01,10.179284,3.838560e-05,8.376000
145,7.253700e+01,10.179223,3.838560e-05,8.376000
146,7.304100e+01,10.180635,3.838560e-05,8.376000
147,7.354400e+01,10.184282,3.844520e-05,8.370000
148,7.404000e+01,10.186166,3.844520e-05,8.370000
149,7.453600e+01,10.183925,3.838560e-05,8.376000
150,7.504100e+01,10.187144,3.838560e-05,8.376000
151,7.553600e+01,10.187750,3.838560e-05,8.376000
152,7.604000e+01,10.186316,3.844520e-05,8.370000
153,7.653600e+01,10.184179,3.838560e-05,8.376000
154,7.703800e+01,10.189009,3.838560e-05,8.376000
155,7.753600e+01,10.190598,3.838560e-05,8.376000
156,7.803800e+01,10.187560,3.838560e-05,8.376000
157,7.853600e+01,10.185327,3.838560e-05,8.376000
158,7.903500e+01,10.184240,3.838560e-05,8.376000
159,7.953700e+01,10.181155,3.838560e-05,8.376000
160,8.004100e+01,10.173813,3.838560e-05,8.376000
161,8.054100e+01,10.169426,3.838560e-05,8.376000
162,8.104000e+01,10.167576,3.838560e-05,8.376000
163,8.154200e+01,10.161298,3.838560e-05,8.376000
164,8.204000e+01,10.156513,3.838560e-05,8.376000
165,8.254200e+01,10.154904,3.838560e-05,8.376000
166,8.304000e+01,10.154902,3.844520e-05,8.370000
167,8.353500e+01,10.155508,3.838560e-05,8.376000
168,8.403600e+01,10.160561,3.838560e-05,8.376000
169,8.453700e+01,10.162888,3.838560e-05,8.376000
170,8.503700e+01,10.164346,3.838560e-05,8.376000
171,8.553600e+01,10.165936,3.838560e-05,8.376000
172,8.603700e+01,10.166406,3.838560e-05,8.376000
173,8.653800e+01,10.168810,3.838560e-05,8.376000
174,8.703700e+01,10.168740,3.838560e-05,8.376000
175,8.754100e+01,10.167687,3.838560e-05,8.376000
176,8.803900e+01,10.168387,3.838560e-05,8.376000
177,8.854000e+01,10.168145,3.838560e-05,8.376000
178,8.903600e+01,10.168765,3.838560e-05,8.376000
179,8.954300e+01,10.167896,3.838560e-05,8.376000
180,9.003600e+01,10.165975,3.838560e-05,8.376000
181,9.053700e+01,10.160711,3.838560e-05,8.376000
182,9.103700e+01,10.155375,3.838560e-05,8.376000
183,9.154300e+01,10.150661,3.838560e-05,8.376000
184,9.204200e+01,10.147066,3.838560e-05,8.376000
185,9.253700e+01,10.148706,3.838560e-05,8.376000
186,9.304100e+01,10.145465,3.838560e-05,8.376000
187,9.353600e+01,10.147498,3.838560e-05,8.376000
188,9.403500e+01,10.146698,3.838560e-05,8.376000
189,9.453500e+01,10.148846,3.838560e-05,8.376000
190,9.503700e+01,10.148848,3.838560e-05,8.376000
191,9.553500e+01,10.151738,3.838560e-05,8.376000
192,9.603700e+01,10.149584,3.838560e-05,8.376000
193,9.653600e+01,10.148535,3.838560e-05,8.376000
194,9.703600e+01,10.147457,3.838560e-05,8.424000
195,9.753700e+01,10.147331,3.838560e-05,8.376000
196,9.803600e+01,10.147223,3.838560e-05,8.376000
197,9.853600e+01,10.146246,3.838560e-05,8.376000
198,9.903900e+01,10.144956,3.838560e-05,8.376000
199,9.954000e+01,10.143433,3.838560e-05,8.376000
200,1.000420e+02,10.142958,3.838560e-05,8.376000
201,1.005390e+02,10.142419,3.838560e-05,8.424000
202,1.010370e+02,10.143024,3.838560e-05,8.376000
203,1.015400e+02,10.139465,3.838560e-05,8.376000
204,1.020410e+02,10.139660,3.838560e-05,8.376000
205,1.025390e+02,10.141179,3.838560e-05,8.376000
206,1.030390e+02,10.142497,3.838560e-05,8.376000
207,1.035350e+02,10.144007,3.838560e-05,8.376000
208,1.040370e+02,10.141508,3.838560e-05,8.376000
209,1.045400e+02,10.138323,3.838560e-05,8.376000
210,1.050360e+02,10.140006,3.838560e-05,8.376000
211,1.055360e+02,10.142529,3.838560e-05,8.376000
212,1.060360e+02,10.141940,3.838560e-05,8.376000
213,1.065360e+02,10.142453,3.838560e-05,8.376000
214,1.070360e+02,10.139895,3.838560e-05,8.376000
215,1.075390e+02,10.137862,3.838560e-05,8.376000
216,1.080390e+02,10.134652,3.838560e-05,8.376000
217,1.085390e+02,10.132117,3.838560e-05,8.376000
218,1.090400e+02,10.130660,3.838560e-05,8.376000
219,1.095400e+02,10.125637,3.838560e-05,8.376000
220,1.100400e+02,10.119430,3.838560e-05,8.376000
221,1.105380e+02,10.116828,3.838560e-05,8.376000
222,1.110370e+02,10.113791,3.838560e-05,8.376000
223,1.115450e+02,10.116112,3.838560e-05,8.376000
224,1.120380e+02,10.119370,3.838560e-05,8.376000
225,1.125370e+02,10.119558,3.838560e-05,8.376000
226,1.130350e+02,10.121812,3.838560e-05,8.376000
227,1.135370e+02,10.122054,3.838560e-05,8.376000
228,1.140360e+02,10.123804,3.838560e-05,8.376000
229,1.145360e+02,10.124818,3.838560e-05,8.376000
230,1.150370e+02,10.124227,3.838560e-05,8.376000
231,1.155360e+02,10.120406,3.838560e-05,8.376000
232,1.160440e+02,10.116951,3.838560e-05,8.376000
233,1.165410e+02,10.115792,3.838560e-05,8.376000
234,1.170360e+02,10.114561,3.838560e-05,8.376000
235,1.175390e+02,10.116538,3.838560e-05,8.376000
236,1.180360e+02,10.118957,3.838560e-05,8.376000
237,1.185400e+02,10.114056,3.838560e-05,8.376000
238,1.190390e+02,10.111814,3.838560e-05,8.376000
239,1.195400e+02,10.108111,3.838560e-05,8.376000
240,1.200370e+02,10.105080,3.838560e-05,8.376000
241,1.205430e+02,10.101230,3.838560e-05,8.376000
242,1.210410e+02,10.098579,3.838560e-05,8.376000
243,1.215440e+02,10.104708,3.838560e-05,8.382000
244,1.220370e+02,10.111808,3.838560e-05,8.376000
245,1.225400e+02,10.113522,3.838560e-05,8.376000
246,1.230400e+02,10.108353,3.838560e-05,8.376000
247,1.235360e+02,10.109300,3.838560e-05,8.382000
248,1.240350e+02,10.111792,3.838560e-05,8.382000
249,1.245390e+02,10.108300,3.838560e-05,8.382000
250,1.250390e+02,10.108578,3.838560e-05,8.382000
251,1.255390e+02,10.105416,3.838560e-05,8.382000
252,1.260370e+02,10.104477,3.838560e-05,8.382000
253,1.265360e+02,10.110127,3.838560e-05,8.376000
254,1.270360e+02,10.111657,3.838560e-05,8.376000
255,1.275360e+02,10.109390,3.838560e-05,8.376000
256,1.280380e+02,10.105893,3.838560e-05,8.376000
257,1.285350e+02,10.102991,3.838560e-05,8.382000
258,1.290400e+02,10.099947,3.838560e-05,8.382000
259,1.295350e+02,10.099528,3.838560e-05,8.382000
260,1.300440e+02,10.096632,3.838560e-05,8.382000
261,1.305390e+02,10.095654,3.838560e-05,8.382000
262,1.310410e+02,10.095159,3.838560e-05,8.376000
263,1.315410e+02,10.093461,3.838560e-05,8.376000
264,1.320400e+02,10.099557,3.838560e-05,8.382000
265,1.325360e+02,10.099537,3.838560e-05,8.382000
266,1.330400e+02,10.098622,3.838560e-05,8.382000
267,1.335390e+02,10.097944,3.838560e-05,8.382000
268,1.340360e+02,10.096400,3.838560e-05,8.376000
269,1.345360e+02,10.094966,3.838560e-05,8.382000
270,1.350390e+02,10.087321,3.838560e-05,8.382000
271,1.355410e+02,10.086526,3.832600e-05,8.388000
272,1.360380e+02,10.085027,3.832600e-05,8.388000
273,1.365400e+02,10.083814,3.838560e-05,8.382000
274,1.370380e+02,10.081006,3.838560e-05,8.382000
275,1.375450e+02,10.080299,3.838560e-05,8.382000
276,1.380410e+02,10.083052,3.838560e-05,8.382000
277,1.385390e+02,10.082236,3.838560e-05,8.382000
278,1.390390e+02,10.077093,3.832600e-05,8.388000
279,1.395400e+02,10.079485,3.832600e-05,8.388000
280,1.400350e+02,10.082586,3.838560e-05,8.382000
281,1.405350e+02,10.086476,3.838560e-05,8.382000
282,1.410360e+02,10.088003,3.838560e-05,8.382000
283,1.415360e+02,10.083247,3.838560e-05,8.382000
284,1.420370e+02,10.079924,3.832600e-05,8.388000
285,1.425360e+02,10.079351,3.832600e-05,8.388000
286,1.430360e+02,10.078098,3.832600e-05,8.388000
287,1.435360e+02,10.079925,3.832600e-05,8.388000
288,1.440360e+02,10.081232,3.832600e-05,8.340000
289,1.445390e+02,10.081181,3.826640e-05,8.304000
290,1.450380e+02,10.085764,3.784920e-05,8.244000
291,1.455410e+02,10.085250,3.773000e-05,8.226000
292,1.460350e+02,10.078432,3.802800e-05,8.310000
293,1.465420e+02,10.071948,3.814720e-05,8.640000
294,1.470440e+02,10.070446,3.820680e-05,8.568000
295,1.475440e+02,10.067052,3.826640e-05,8.454000
296,1.480410e+02,10.063887,3.826640e-05,8.406000
297,1.485400e+02,10.061356,3.826640e-05,8.406000
298,1.490370e+02,10.060735,3.826640e-05,8.358000
299,1.495400e+02,10.063684,3.832600e-05,8.400000
300,1.500400e+02,10.065499,3.832600e-05,8.388000
301,1.505410e+02,10.068660,3.832600e-05,8.388000
302,1.510350e+02,10.071054,3.832600e-05,8.388000
303,1.515390e+02,10.064117,3.832600e-05,8.388000
304,1.520360e+02,10.062975,3.832600e-05,8.400000
305,1.525370e+02,10.068365,3.832600e-05,8.400000
306,1.530370e+02,10.071362,3.832600e-05,8.388000
307,1.535440e+02,10.068572,3.832600e-05,8.388000
308,1.540360e+02,10.065883,3.832600e-05,8.400000
309,1.545400e+02,10.064734,3.832600e-05,8.400000
310,1.550360e+02,10.062321,3.832600e-05,8.400000
311,1.555440e+02,10.062551,3.832600e-05,8.400000
312,1.560370e+02,10.062961,3.832600e-05,8.400000
313,1.565360e+02,10.064485,3.832600e-05,8.388000
314,1.570400e+02,10.060184,3.832600e-05,8.400000
315,1.575410e+02,10.058640,3.820680e-05,8.364000
316,1.580400e+02,10.056693,3.826640e-05,8.406000
317,1.585400e+02,10.050307,3.820680e-05,8.370000
318,1.590440e+02,10.046281,3.808760e-05,8.394000
319,1.595390e+02,10.045095,3.808760e-05,8.400000
320,1.600410e+02,10.045129,3.808760e-05,8.388000
321,1.605410e+02,10.043489,3.814720e-05,8.388000
322,1.610390e+02,10.045172,3.814720e-05,8.376000
323,1.615370e+02,10.044334,3.820680e-05,8.418000
324,1.620400e+02,10.044756,3.814720e-05,8.376000
325,1.625350e+02,10.047687,3.820680e-05,8.370000
326,1.630400e+02,10.047905,3.820680e-05,8.364000
327,1.635390e+02,10.051081,3.820680e-05,8.364000
328,1.640360e+02,10.055723,3.826640e-05,8.346000
329,1.645400e+02,10.054715,3.832600e-05,8.400000
330,1.650390e+02,10.054045,3.826640e-05,8.406000
331,1.655380e+02,10.050735,3.820680e-05,8.412000
332,1.660400e+02,10.048338,3.820680e-05,8.370000
333,1.665360e+02,10.046391,3.814720e-05,8.376000
334,1.670350e+02,10.043490,3.814720e-05,8.388000
335,1.675410e+02,10.040602,3.808760e-05,8.400000
336,1.680400e+02,10.032180,3.755120e-05,8.376000
337,1.685410e+02,10.031371,3.689550e-05,8.364000
338,1.690360e+02,10.035767,3.737230e-05,8.400000
339,1.695440e+02,10.034339,3.778960e-05,8.358000
