Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.200000e-02,8.800733,0.000000e+00,0.000000
1,5.310000e-01,8.802891,0.000000e+00,0.000000
2,1.031000e+00,8.800619,0.000000e+00,0.000000
3,1.530000e+00,8.800535,0.000000e+00,0.000000
4,2.031000e+00,8.801824,0.000000e+00,0.000000
5,2.531000e+00,8.806644,0.000000e+00,0.000000
6,3.030000e+00,8.807489,0.000000e+00,0.000000
7,3.531000e+00,8.810509,0.000000e+00,0.000000
8,4.030000e+00,8.811619,0.000000e+00,0.000000
9,4.532000e+00,8.802686,0.000000e+00,0.000000
10,5.031000e+00,8.799075,0.000000e+00,0.000000
11,5.530000e+00,8.797570,0.000000e+00,0.000000
12,6.033000e+00,8.801962,0.000000e+00,0.000000
13,6.532000e+00,8.807810,0.000000e+00,0.000000
14,7.032000e+00,8.806897,0.000000e+00,-90.000000
15,7.531000e+00,8.806846,0.000000e+00,-90.000000
16,8.031000e+00,8.802600,0.000000e+00,0.000000
17,8.532000e+00,8.805907,0.000000e+00,0.000000
18,9.031000e+00,8.802059,0.000000e+00,0.000000
19,9.531000e+00,8.797075,0.000000e+00,0.000000
20,1.003200e+01,8.796995,0.000000e+00,0.000000
21,1.053000e+01,8.800422,0.000000e+00,0.000000
22,1.103400e+01,8.800266,0.000000e+00,0.000000
23,1.153500e+01,8.809362,0.000000e+00,0.000000
24,1.203300e+01,8.815821,0.000000e+00,0.000000
25,1.253100e+01,8.816836,0.000000e+00,0.000000
26,1.303400e+01,8.814070,0.000000e+00,0.000000
27,1.353100e+01,8.814067,0.000000e+00,0.000000
28,1.403000e+01,8.814202,0.000000e+00,0.000000
29,1.453100e+01,8.814632,0.000000e+00,0.000000
30,1.502900e+01,8.819091,0.000000e+00,0.000000
31,1.553100e+01,8.818557,0.000000e+00,0.000000
32,1.603100e+01,8.823152,0.000000e+00,0.000000
33,1.653100e+01,8.821359,0.000000e+00,0.000000
34,1.703000e+01,8.816640,0.000000e+00,0.000000
35,1.753100e+01,8.818181,0.000000e+00,0.000000
36,1.803100e+01,8.817607,0.000000e+00,0.000000
37,1.853100e+01,8.815733,0.000000e+00,0.000000
38,1.903100e+01,8.819305,0.000000e+00,0.000000
39,1.953100e+01,8.823156,0.000000e+00,0.000000
40,2.003000e+01,8.824588,0.000000e+00,0.000000
41,2.053100e+01,8.825686,0.000000e+00,0.000000
42,2.103100e+01,8.829076,0.000000e+00,0.000000
