Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.100000e-02,9.806087,0.000000e+00,0.000000
1,5.310000e-01,9.804373,0.000000e+00,0.000000
2,1.030000e+00,9.804225,0.000000e+00,0.000000
3,1.534000e+00,9.808228,0.000000e+00,0.000000
4,2.032000e+00,9.806120,0.000000e+00,0.000000
5,2.529000e+00,9.803959,0.000000e+00,0.000000
6,3.034000e+00,9.802591,0.000000e+00,0.000000
7,3.532000e+00,9.805259,0.000000e+00,0.000000
8,4.034000e+00,9.805061,0.000000e+00,0.000000
9,4.530000e+00,9.804600,0.000000e+00,0.000000
10,5.030000e+00,9.806692,0.000000e+00,0.000000
11,5.531000e+00,9.806829,0.000000e+00,0.000000
12,6.029000e+00,9.806318,0.000000e+00,0.000000
13,6.529000e+00,9.803612,0.000000e+00,0.000000
14,7.035000e+00,9.800173,0.000000e+00,0.000000
15,7.530000e+00,9.797936,0.000000e+00,0.000000
16,8.030000e+00,9.796546,0.000000e+00,0.000000
17,8.529000e+00,9.796590,0.000000e+00,0.000000
18,9.030000e+00,9.801385,0.000000e+00,-90.000000
19,9.539000e+00,9.803101,0.000000e+00,-45.000000
20,1.003000e+01,9.806085,0.000000e+00,0.000000
21,1.052900e+01,9.802899,0.000000e+00,0.000000
22,1.103000e+01,9.801385,0.000000e+00,0.000000
23,1.153400e+01,9.804414,0.000000e+00,0.000000
24,1.202800e+01,9.801543,0.000000e+00,0.000000
25,1.252900e+01,9.801844,0.000000e+00,0.000000
26,1.303000e+01,9.804293,0.000000e+00,0.000000
27,1.353000e+01,9.805721,0.000000e+00,0.000000
28,1.403000e+01,9.802716,0.000000e+00,0.000000
29,1.453000e+01,9.804174,0.000000e+00,0.000000
30,1.503400e+01,9.808045,0.000000e+00,0.000000
31,1.553500e+01,9.809839,0.000000e+00,0.000000
32,1.603000e+01,9.813587,0.000000e+00,0.000000
33,1.653300e+01,9.812184,0.000000e+00,0.000000
34,1.702900e+01,9.805782,0.000000e+00,0.000000
35,1.753400e+01,9.804023,0.000000e+00,0.000000
36,1.803100e+01,9.808247,0.000000e+00,0.000000
37,1.853000e+01,9.810716,0.000000e+00,0.000000
38,1.903000e+01,9.807736,0.000000e+00,0.000000
39,1.953000e+01,9.810219,0.000000e+00,90.000000
40,2.003200e+01,9.812053,0.000000e+00,90.000000
41,2.053300e+01,9.813988,0.000000e+00,0.000000
42,2.103000e+01,9.818467,0.000000e+00,0.000000
43,2.153000e+01,9.824429,0.000000e+00,0.000000
44,2.203000e+01,9.822692,0.000000e+00,0.000000
45,2.253100e+01,9.823627,0.000000e+00,0.000000
46,2.303000e+01,9.824363,0.000000e+00,0.000000
47,2.353100e+01,9.824566,0.000000e+00,0.000000
48,2.403000e+01,9.824142,0.000000e+00,0.000000
49,2.453000e+01,9.825075,0.000000e+00,0.000000
50,2.503000e+01,9.825903,0.000000e+00,0.000000
51,2.553000e+01,9.825830,0.000000e+00,0.000000
52,2.603100e+01,9.826880,0.000000e+00,0.000000
53,2.653000e+01,9.826796,0.000000e+00,0.000000
54,2.703100e+01,9.827944,0.000000e+00,0.000000
55,2.753100e+01,9.826385,0.000000e+00,0.000000
56,2.803100e+01,9.823404,0.000000e+00,0.000000
57,2.853100e+01,9.819150,0.000000e+00,0.000000
58,2.903900e+01,9.816250,0.000000e+00,0.000000
59,2.952800e+01,9.819025,0.000000e+00,0.000000
60,3.003500e+01,9.822294,0.000000e+00,0.000000
61,3.053100e+01,9.824557,0.000000e+00,0.000000
62,3.103300e+01,9.827833,0.000000e+00,0.000000
63,3.152900e+01,9.829103,0.000000e+00,0.000000
64,3.203400e+01,9.829874,0.000000e+00,0.000000
65,3.253000e+01,9.831966,0.000000e+00,0.000000
66,3.303100e+01,9.835935,0.000000e+00,0.000000
67,3.353000e+01,9.839502,0.000000e+00,0.000000
