Point,Time (s),Temperature (K)
0,1.00E-02,8.73529
1,5.18E-01,8.732292
2,1.01E+00,8.720708
3,1.52E+00,8.709126
4,2.01E+00,8.700377
5,2.51E+00,8.701023
6,3.01E+00,8.710663
7,3.52E+00,8.722515
8,4.01E+00,8.857555
9,4.52E+00,9.12883
10,5.01E+00,9.566704
11,5.52E+00,9.912035
12,6.01E+00,10.245065
13,6.52E+00,10.396411
14,7.01E+00,10.440061
15,7.52E+00,10.371483
16,8.01E+00,10.177796
17,8.52E+00,9.954249
18,9.01E+00,9.624094
19,9.51E+00,9.395268
20,1.00E+01,9.253376
21,1.05E+01,9.297009
22,1.10E+01,9.430685
23,1.15E+01,9.652186
24,1.20E+01,9.823072
25,1.25E+01,9.97609
26,1.30E+01,10.01909
27,1.35E+01,9.954638
28,1.40E+01,9.82383
29,1.45E+01,9.615921
30,1.50E+01,9.473446
31,1.55E+01,9.386158
32,1.60E+01,9.400042
33,1.65E+01,9.505301
34,1.70E+01,9.628058
35,1.75E+01,9.780787
36,1.80E+01,9.869069
37,1.85E+01,9.913185
38,1.90E+01,9.881186
39,1.95E+01,9.769418
40,2.00E+01,9.657103
41,2.05E+01,9.535526
42,2.10E+01,9.487208
43,2.15E+01,9.500789
44,2.20E+01,9.556611
45,2.25E+01,9.651395
46,2.30E+01,9.723988
47,2.35E+01,9.786084
48,2.40E+01,9.804257
49,2.45E+01,9.784362
50,2.50E+01,9.725117
51,2.55E+01,9.663188
52,2.60E+01,9.594759
53,2.65E+01,9.562366
54,2.70E+01,9.560471
55,2.75E+01,9.592585
56,2.80E+01,9.654007
57,2.85E+01,9.706618
58,2.90E+01,9.759274
59,2.95E+01,9.776282
60,3.00E+01,9.762129
61,3.05E+01,9.728572
62,3.10E+01,9.671269
63,3.15E+01,9.625966
64,3.20E+01,9.587101
65,3.25E+01,9.577604
66,3.30E+01,9.598347
67,3.35E+01,9.635951
68,3.40E+01,9.691746
69,3.45E+01,9.728897
70,3.50E+01,9.750971
71,3.55E+01,9.745722
72,3.60E+01,9.717164
73,3.65E+01,9.681771
74,3.70E+01,9.639536
75,3.75E+01,9.619587
76,3.80E+01,9.613702
77,3.85E+01,9.624488
78,3.90E+01,9.652985
79,3.95E+01,9.684587
80,4.00E+01,9.70417
81,4.05E+01,9.716917
82,4.10E+01,9.712434
83,4.15E+01,9.692293
84,4.20E+01,9.671232
85,4.25E+01,9.645743
86,4.30E+01,9.634654
87,4.35E+01,9.636835
88,4.40E+01,9.647323
89,4.45E+01,9.672403
90,4.50E+01,9.693598
91,4.55E+01,9.709054
92,4.60E+01,9.710291
93,4.65E+01,9.701128
94,4.70E+01,9.684275
95,4.75E+01,9.657602
96,4.80E+01,9.640405
97,4.85E+01,9.632333
98,4.90E+01,9.642305
99,4.95E+01,9.667399
100,5.00E+01,9.68789
101,5.05E+01,9.704306
102,5.10E+01,9.705235
103,5.15E+01,9.694921
104,5.20E+01,9.681991
105,5.25E+01,9.663122
106,5.30E+01,9.648995
107,5.35E+01,9.641337
108,5.40E+01,9.646743
109,5.45E+01,9.656677
110,5.50E+01,9.673293
111,5.55E+01,9.683146
112,5.60E+01,9.683381
113,5.65E+01,9.682981
114,5.70E+01,9.684174
115,5.75E+01,9.683255
116,5.80E+01,9.678347
117,5.85E+01,9.671134
118,5.90E+01,9.669327
119,5.95E+01,9.669839
