Point,Time (s),Temperature (K)
0,1.200000e-02,8.308391
1,5.100000e-01,8.309893
2,1.010000e+00,8.322467
3,1.510000e+00,8.335716
4,2.010000e+00,8.351834
5,2.510000e+00,8.360187
6,3.010000e+00,8.362182
7,3.510000e+00,8.412672
8,4.010000e+00,8.578876
9,4.510000e+00,8.762417
10,5.011000e+00,9.008787
11,5.510000e+00,9.194302
12,6.016000e+00,9.383647
13,6.516000e+00,9.490989
14,7.016000e+00,9.559555
15,7.517000e+00,9.561294
16,8.011000e+00,9.505615
17,8.513000e+00,9.430737
18,9.010000e+00,9.320735
19,9.511000e+00,9.236387
20,1.001000e+01,9.148057
21,1.051200e+01,9.095036
22,1.101000e+01,9.078690
23,1.150900e+01,9.084085
24,1.201000e+01,9.102072
25,1.251000e+01,9.132989
26,1.301000e+01,9.163730
27,1.351000e+01,9.203338
28,1.401100e+01,9.233093
29,1.451000e+01,9.261866
30,1.501000e+01,9.273908
31,1.551000e+01,9.274648
32,1.600900e+01,9.269061
33,1.651000e+01,9.259527
34,1.701000e+01,9.248795
35,1.751000e+01,9.232133
36,1.801000e+01,9.216848
37,1.851000e+01,9.198730
38,1.901000e+01,9.186606
39,1.951000e+01,9.179525
40,2.000900e+01,9.182055
41,2.051000e+01,9.188093
42,2.101000e+01,9.197032
43,2.151000e+01,9.214034
44,2.201000e+01,9.225913
45,2.251000e+01,9.234621
46,2.301300e+01,9.236735
47,2.351000e+01,9.234458
48,2.401100e+01,9.229909
49,2.451000e+01,9.220609
50,2.501200e+01,9.215744
51,2.551000e+01,9.213408
52,2.601000e+01,9.209171
53,2.651000e+01,9.205433
54,2.700900e+01,9.206103
55,2.751000e+01,9.210135
56,2.801000e+01,9.214312
57,2.851000e+01,9.217108
58,2.901000e+01,9.219291
59,2.951000e+01,9.218135
60,3.001000e+01,9.215961
61,3.050900e+01,9.217095
62,3.101000e+01,9.217964
63,3.151000e+01,9.215828
64,3.201000e+01,9.211674
65,3.251000e+01,9.212331
66,3.301000e+01,9.215172
67,3.350900e+01,9.217535
68,3.401000e+01,9.222221
69,3.451000e+01,9.223142
70,3.500900e+01,9.221005
71,3.550900e+01,9.217705
72,3.601000e+01,9.213493
73,3.651000e+01,9.209547
74,3.701000e+01,9.204412
75,3.751200e+01,9.203841
76,3.801000e+01,9.209463
77,3.851000e+01,9.213426
78,3.901000e+01,9.216527
79,3.951100e+01,9.216151
80,4.001000e+01,9.219815
81,4.051000e+01,9.227208
82,4.101000e+01,9.230800
83,4.151000e+01,9.231703
84,4.201000e+01,9.229306
85,4.251000e+01,9.225388
86,4.301000e+01,9.220730
87,4.351000e+01,9.219186
88,4.401000e+01,9.219610
89,4.451000e+01,9.218447
90,4.501000e+01,9.215855
91,4.551000e+01,9.212317
92,4.600900e+01,9.206903
93,4.651000e+01,9.201999
94,4.701000e+01,9.201653
95,4.750900e+01,9.203720
96,4.801000e+01,9.206456
97,4.850900e+01,9.210370
98,4.901000e+01,9.213119
99,4.951000e+01,9.218246
100,5.001000e+01,9.222614
101,5.051000e+01,9.227573
102,5.101000e+01,9.230446
103,5.151000e+01,9.231972
104,5.201500e+01,9.233788
105,5.251500e+01,9.233532
106,5.301500e+01,9.231566
107,5.351400e+01,9.227265
108,5.401100e+01,9.219702
109,5.451000e+01,9.211926
110,5.501000e+01,9.203338
111,5.550900e+01,9.201129
112,5.601000e+01,9.203556
113,5.651000e+01,9.207553
114,5.701000e+01,9.211696
115,5.751000e+01,9.214153
116,5.801000e+01,9.215693
117,5.851000e+01,9.213572
118,5.900900e+01,9.209111
119,5.951400e+01,9.207252
120,6.001400e+01,9.208034
121,6.051400e+01,9.213813
122,6.101000e+01,9.221630
123,6.151000e+01,9.223145
124,6.200900e+01,9.219769
125,6.251000e+01,9.215487
126,6.301000e+01,9.212254
127,6.350900e+01,9.213168
128,6.401000e+01,9.217182
129,6.451000e+01,9.220668
130,6.501100e+01,9.224553
131,6.551000e+01,9.227229
132,6.600900e+01,9.229419
133,6.651100e+01,9.228192
134,6.701000e+01,9.221411
135,6.751000e+01,9.216935
136,6.801000e+01,9.209675
137,6.851000e+01,9.199063
138,6.901000e+01,9.188075
139,6.950900e+01,9.187171
140,7.000900e+01,9.193192
141,7.051000e+01,9.200935
142,7.101000e+01,9.207232
143,7.151000e+01,9.215659
144,7.201000e+01,9.223468
145,7.251000e+01,9.236245
146,7.301000e+01,9.243816
147,7.351000e+01,9.245522
148,7.401000e+01,9.240463
149,7.451000e+01,9.229701
150,7.501000e+01,9.220382
151,7.551000e+01,9.211482
152,7.600900e+01,9.206903
153,7.651000e+01,9.206096
154,7.700900e+01,9.207095
155,7.751000e+01,9.209270
156,7.800900e+01,9.210721
157,7.850900e+01,9.211679
158,7.900900e+01,9.213402
159,7.950900e+01,9.213909
160,8.001000e+01,9.212832
161,8.050900e+01,9.213752
162,8.101100e+01,9.216249
163,8.151000e+01,9.218493
164,8.201000e+01,9.218699
165,8.251000e+01,9.216120
166,8.301000e+01,9.214409
167,8.350900e+01,9.214368
168,8.401000e+01,9.217211
169,8.451000e+01,9.221559
170,8.500900e+01,9.224668
171,8.551000e+01,9.224684
172,8.600900e+01,9.223332
173,8.650900e+01,9.221144
174,8.700900e+01,9.215053
175,8.751000e+01,9.211269
176,8.800900e+01,9.211402
177,8.851000e+01,9.214473
178,8.901000e+01,9.221075
179,8.952100e+01,9.226744
