Point,Time (s),Temperature (K)
0,1.000000e-02,8.735290
1,5.180000e-01,8.732292
2,1.009000e+00,8.720708
3,1.515000e+00,8.709126
4,2.009000e+00,8.700377
5,2.514000e+00,8.701023
6,3.009000e+00,8.710663
7,3.515000e+00,8.722515
8,4.010000e+00,8.857555
9,4.515000e+00,9.128830
10,5.011000e+00,9.566704
11,5.515000e+00,9.912035
12,6.011000e+00,10.245065
13,6.517000e+00,10.396411
14,7.011000e+00,10.440061
15,7.520000e+00,10.371483
16,8.011000e+00,10.177796
17,8.518000e+00,9.954249
18,9.014000e+00,9.624094
19,9.511000e+00,9.395268
20,1.001000e+01,9.253376
21,1.051800e+01,9.297009
22,1.101000e+01,9.430685
23,1.151500e+01,9.652186
24,1.201000e+01,9.823072
25,1.251500e+01,9.976090
26,1.301000e+01,10.019090
27,1.351700e+01,9.954638
28,1.401600e+01,9.823830
29,1.451500e+01,9.615921
30,1.501100e+01,9.473446
31,1.551500e+01,9.386158
32,1.601000e+01,9.400042
33,1.651500e+01,9.505301
34,1.701100e+01,9.628058
35,1.751500e+01,9.780787
36,1.801000e+01,9.869069
37,1.851600e+01,9.913185
38,1.901600e+01,9.881186
39,1.951500e+01,9.769418
40,2.001100e+01,9.657103
41,2.051500e+01,9.535526
42,2.101100e+01,9.487208
43,2.151500e+01,9.500789
44,2.201100e+01,9.556611
45,2.251600e+01,9.651395
46,2.301300e+01,9.723988
47,2.351600e+01,9.786084
48,2.401600e+01,9.804257
49,2.451500e+01,9.784362
50,2.501300e+01,9.725117
51,2.551500e+01,9.663188
52,2.601100e+01,9.594759
53,2.651500e+01,9.562366
54,2.701000e+01,9.560471
55,2.751500e+01,9.592585
56,2.801000e+01,9.654007
57,2.851600e+01,9.706618
58,2.901600e+01,9.759274
59,2.951500e+01,9.776282
60,3.001100e+01,9.762129
61,3.051500e+01,9.728572
62,3.101100e+01,9.671269
63,3.151500e+01,9.625966
64,3.201000e+01,9.587101
65,3.251500e+01,9.577604
66,3.301100e+01,9.598347
67,3.351600e+01,9.635951
68,3.401000e+01,9.691746
69,3.451500e+01,9.728897
70,3.501000e+01,9.750971
71,3.551500e+01,9.745722
72,3.601100e+01,9.717164
73,3.651900e+01,9.681771
74,3.701100e+01,9.639536
75,3.751900e+01,9.619587
76,3.801000e+01,9.613702
77,3.851100e+01,9.624488
78,3.901000e+01,9.652985
79,3.951700e+01,9.684587
80,4.001000e+01,9.704170
81,4.051500e+01,9.716917
82,4.101100e+01,9.712434
83,4.151500e+01,9.692293
84,4.201100e+01,9.671232
85,4.251500e+01,9.645743
86,4.301000e+01,9.634654
87,4.351500e+01,9.636835
88,4.401100e+01,9.647323
89,4.451500e+01,9.672403
90,4.501100e+01,9.693598
91,4.551400e+01,9.709054
92,4.601000e+01,9.710291
93,4.651500e+01,9.701128
94,4.701100e+01,9.684275
95,4.751500e+01,9.657602
96,4.801000e+01,9.640405
97,4.851500e+01,9.632333
98,4.901100e+01,9.642305
99,4.951500e+01,9.667399
100,5.001000e+01,9.687890
101,5.051500e+01,9.704306
102,5.101100e+01,9.705235
103,5.151500e+01,9.694921
104,5.201200e+01,9.681991
105,5.251500e+01,9.663122
106,5.301100e+01,9.648995
107,5.351500e+01,9.641337
108,5.401200e+01,9.646743
109,5.451500e+01,9.656677
110,5.501100e+01,9.673293
111,5.551500e+01,9.683146
112,5.601000e+01,9.683381
113,5.651500e+01,9.682981
114,5.701000e+01,9.684174
115,5.751500e+01,9.683255
116,5.801000e+01,9.678347
117,5.851500e+01,9.671134
118,5.901000e+01,9.669327
119,5.952700e+01,9.669839
